Cast;Country;Country - Split 1;Country - Split 2;Date Added;Date Added (copy);Date Added (group);Description;Director;Duration;Genre;Genre_Color;Listed In;Listed In - Split 2;Rating;Release Year;Release Year (group);Show Id;Title;Type;1;Count_Country;Count_Title
Eddie Murphy;United States;United States;;01/01/2021;01/01/2021;2021-01-01;This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.;Robert Townsend;90 min;Stand-Up;A;Stand-Up Comedy;Comedy;R;1987;1980's;s1920;Eddie Murphy: Raw;Movie;100;1;1
Annabeth Gish, Julia Roberts, Lili Taylor, Vincent D'Onofrio, William R. Moses, Adam Storke, Conchata Ferrell, Joanna Merlin, Porscha Radcliffe, John Fiore;United States;United States;;01/01/2021;01/01/2021;2021-01-01;In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor.;Donald Petrie;104 min;Comedies;A;Comedies, Dramas, Independent Movies;Dramas,;R;1988;1980's;s4373;Mystic Pizza;Movie;100;1;1
Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Kyme, Joe Seneca, Ellen Holly, Art Evans, Ossie Davis, Bill Nunn, James Bond III;United States;United States;;01/11/2020;01/11/2020;2020-11-01;At a Historically Black College, a student activist and his cousin pledging a fraternity navigate social divides amid parties, protests and conflicts.;Spike Lee;120 min;Comedies;A;Comedies, Dramas;Dramas;R;1988;1980's;s5433;School Daze;Movie;100;1;1
Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen, Jack Murdock, Michael D. Roberts, Ralph Seymour, Lucinda Jenney, Bonnie Hunt;United States;United States;;01/07/2019;01/07/2019;2019-07-01;A fast-talking yuppie is forced to slow down when he meets the brother he never knew he had, an unusually gifted autistic savant named Raymond.;Barry Levinson;134 min;Classic;A;Classic Movies, Dramas;Movies,;R;1988;1980's;s5071;Rain Man;Movie;100;1;1
Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder;United States;United States;;31/12/2019;31/12/2019;2019-12-31;When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him.;Tom Holland;87 min;Cult;A;Cult Movies, Horror Movies;Movies,;R;1988;1980's;s1332;Child's Play;Movie;100;1;1
Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore;United States, Mexico;United States;Mexico;01/07/2020;01/07/2020;2020-07-01;After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars.;Paul Verhoeven;114 min;Action;A;Action & Adventure, Sci-Fi & Fantasy;&;R;1990;1990's;s7163;Total Recall;Movie;100;1;1
Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low;United States;United States;;01/01/2021;01/01/2021;2021-01-01;Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family – a high-rolling dream turned paranoid nightmare.;Martin Scorsese;145 min;Classic;A;Classic Movies, Dramas;Movies,;R;1990;1990's;s2494;GoodFellas;Movie;100;1;1
;United States;United States;;01/02/2017;01/02/2017;2017-02-01;This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival.;Jennie Livingston;77 min;Classic;A;Classic Movies, Cult Movies, Documentaries;Movies,;R;1990;1990's;s4777;Paris Is Burning;Movie;100;1;1
Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill;United States;United States;;01/11/2019;01/11/2019;2019-11-01;Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.;Tony Scott;105 min;Action;A;Action & Adventure, Comedies;&;R;1991;1990's;s6553;The Last Boy Scout;Movie;100;1;1
Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez, Ada Carrasco, Yareli Arizmendi, Claudette Maillé, Pilar Aranda;Mexico;Mexico;;01/11/2019;01/11/2019;2019-11-01;When Pedro marries her sister, Tita throws herself into her cooking – and discovers she can transfer her emotions through the food she prepares.;Alfonso Arau;105 min;Classic;A;Classic Movies, Dramas, International Movies;Movies,;R;1992;1990's;s3640;Like Water for Chocolate;Movie;100;1;1
Stephen Rea, Miranda Richardson, Forest Whitaker, Jaye Davidson, Adrian Dunbar, Breffini McKenna, Joe Savino, Birdie Sweeney, Andree Bernard, Jim Broadbent;United Kingdom, Japan, United States;United Kingdom;Japan;01/01/2020;01/01/2020;2020-01-01;IRA terrorist Fergus bonds with his prisoner, Jody. Jody tells Fergus of his girlfriend, Dil, with whom Fergus later falls in love.;Neil Jordan;112 min;Classic;A;Classic Movies, Independent Movies, Thrillers;Movies,;R;1992;1990's;s6257;The Crying Game;Movie;100;1;1
Harrison Ford, Anne Archer, Patrick Bergin, Sean Bean, Thora Birch, James Fox, Samuel L. Jackson, Polly Walker, J.E. Freeman, James Earl Jones, Richard Harris;United States;United States;;01/01/2020;01/01/2020;2020-01-01;CIA desk jockey Jack Ryan plunges into the heart of international terrorism after spoiling an assassination attempt on a British royal family member.;Phillip Noyce;117 min;Action;A;Action & Adventure;&;R;1992;1990's;s4795;Patriot Games;Movie;100;1;1
Denis Leary;United States;United States;;08/08/2017;08/08/2017;2017-08-08;In the stand-up performance that made him a legend, comedian Denis Leary caustically holds forth on nonsmokers, vegetarians and other undesirables.;Ted Demme;62 min;Stand-Up;A;Stand-Up Comedy;Comedy;R;1992;1990's;s1703;Denis Leary: No Cure For Cancer;Movie;100;1;1
Wesley Snipes, Bruce Payne, Tom Sizemore, Alex Datcher, Bruce Greenwood, Elizabeth Hurley, Michael Horse, Marc Macaulay, Ernie Lively;United States;United States;;01/01/2021;01/01/2021;2021-01-01;Air marshal John Cutter must stop notorious terrorist Charles Rane from killing hostages on board a flight that should have delivered Rane to jail.;Kevin Hooks;84 min;Action;A;Action & Adventure;&;R;1992;1990's;s4787;Passenger 57;Movie;100;1;1
Lisa Harrow, Bruno Ganz, Kerry Fox, Miranda Otto, Kiri Paramore, Bill Hunter;Australia;Australia;;01/11/2016;01/11/2016;2016-11-01;Successful writer Beth's tepid marriage and home life face a new round of challenges when her footloose younger sister arrives for an extended visit.;Gillian Armstrong;93 min;Classic;A;Classic Movies, Dramas;Movies,;R;1992;1990's;s6557;The Last Days of Chez Nous;Movie;100;1;1
Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis;United States, United Kingdom;United States;United Kingdom;01/10/2019;01/10/2019;2019-10-01;Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him.;Bernard Rose;99 min;Cult;A;Cult Movies, Horror Movies;Movies,;R;1992;1990's;s1201;Candyman;Movie;100;1;1
Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis;United States;United States;;01/01/2020;01/01/2020;2020-01-01;A divorcée moves into a high-rise with a sordid past and begins a steamy affair with her neighbor, unaware that her every move is being monitored.;Phillip Noyce;107 min;Thrillers;A;Thrillers;;R;1993;1990's;s5669;Sliver;Movie;100;1;1
Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Małgorzata Gebel, Shmulik Levy, Mark Ivanir, Beatrice Macola, Friedrich von Thun, Andrzej Seweryn;United States;United States;;01/04/2018;01/04/2018;2018-04-01;Oskar Schindler becomes an unlikely humanitarian, spending his entire fortune to help save 1,100 Jews from Auschwitz during World War II.;Steven Spielberg;195 min;Classic;A;Classic Movies, Dramas;Movies,;R;1993;1990's;s5431;Schindler's List;Movie;100;1;1
Brandon Lee, Rochelle Davis, Ernie Hudson, Michael Wincott, Bai Ling, Sofia Shinas, Anna Levine, David Patrick Kelly, Angel David, Laurence Mason, Michael Massee, Tony Todd, Jon Polito;United States;United States;;01/01/2019;01/01/2019;2019-01-01;One year after Eric Draven and his fiancée are murdered, Draven – watched over by a hypnotic crow – returns from the grave to exact revenge.;Alex Proyas;102 min;Action;A;Action & Adventure, Cult Movies, Sci-Fi & Fantasy;&;R;1994;1990's;s6254;The Crow;Movie;100;1;1
Hugh Grant, Andie MacDowell, James Fleet, Simon Callow, John Hannah, Kristin Scott Thomas, David Bower, Charlotte Coleman, David Haig, Rowan Atkinson, Sophie Thompson, Anna Chancellor, Corin Redgrave;United Kingdom;United Kingdom;;01/08/2019;01/08/2019;2019-08-01;A commitment-phobic Brit tries to reconnect with an alluring American who's about to make a seemingly awful mistake by marrying a wealthy, boring man.;Mike Newell;118 min;Classic;A;Classic Movies, Comedies, International Movies;Movies,;R;1994;1990's;s2252;Four Weddings and a Funeral;Movie;100;1;1
John Travolta, Samuel L. Jackson, Uma Thurman, Harvey Keitel, Tim Roth, Amanda Plummer, Maria de Medeiros, Ving Rhames, Eric Stoltz, Rosanna Arquette, Christopher Walken, Bruce Willis;United States;United States;;01/01/2019;01/01/2019;2019-01-01;This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.;Quentin Tarantino;154 min;Classic;A;Classic Movies, Cult Movies, Dramas;Movies,;R;1994;1990's;s5003;Pulp Fiction;Movie;100;1;1
Jackie Chan, Anita Mui, Françoise Yip, Bill Tung, Marc Akerstream, Garvin Cross, Morgan Lam, Ailen Sit;Hong Kong;Hong Kong;;01/11/2019;01/11/2019;2019-11-01;During a visit to the Bronx to help out at his uncle's store, a cheerful martial arts expert springs into action when a gang terrorizes the shop.;Stanley Tong;89 min;Action;A;Action & Adventure, Comedies, International Movies;&;R;1995;1990's;s5299;Rumble in the Bronx;Movie;100;1;1
Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould;United States;United States;;04/11/2019;04/11/2019;2019-11-04;"After graduating, four college roomies – petrified by the prospect of facing ""real life"" – reluctantly step into adulthood in this ensemble comedy.";Noah Baumbach;97 min;Comedies;A;Comedies, Independent Movies, Romantic Movies;Independent;R;1995;1990's;s3368;Kicking and Screaming;Movie;100;1;1
Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True, Skeet Ulrich, Christine Taylor, Breckin Meyer, Nathaniel Marston, Cliff De Young, Assumpta Serna;United States;United States;;01/01/2020;01/01/2020;2020-01-01;At a Catholic school, a new girl falls in with a clique of teen witches who wield their powers against anyone who crosses them, even their parents.;Andrew Fleming;101 min;Horror;A;Horror Movies, Thrillers;Movies,;R;1996;1990's;s6246;The Craft;Movie;100;1;1
Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames, Robert Patrick, Paul Guilfoyle, Jerry Grayson, Rumer Willis, Robert Stanton, William Hill;United States;United States;;01/01/2021;01/01/2021;2021-01-01;A former FBI employee works as a stripper to finance her custody battle for her daughter when a secretly shady congressman takes an interest in her.;Andrew Bergman;117 min;Comedies;A;Comedies, Dramas;Dramas;R;1996;1990's;s5850;Striptease;Movie;100;1;1
Richard Gere, Edward Norton, Laura Linney, John Mahoney, Alfre Woodard, Frances McDormand, Terry O'Quinn, Andre Braugher, Steven Bauer, Joe Spano, Kenneth Tigar, Tony Plana, Maura Tierney, Stanley Anderson;United States;United States;;01/12/2019;01/12/2019;2019-12-01;When a blood-spattered altar boy is found running from a murder scene, his conviction seems certain – but his attorney is determined to win the case.;Gregory Hoblit;131 min;Dramas;A;Dramas, Thrillers;Thrillers;R;1996;1990's;s4970;Primal Fear;Movie;100;1;1
Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley;United States;United States;;01/11/2019;01/11/2019;2019-11-01;When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them.;Stuart Baird;133 min;Action;A;Action & Adventure;&;R;1996;1990's;s2060;Executive Decision;Movie;100;1;1
Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black, Natalie Canerday, James Hampton, Robert Duvall, Rick Dial, Brent Briscoe;United States;United States;;01/11/2019;01/11/2019;2019-11-01;A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.;Billy Bob Thornton;135 min;Dramas;A;Dramas, Independent Movies;Independent;R;1996;1990's;s5668;Sling Blade;Movie;100;1;1
Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson;United Kingdom;United Kingdom;;01/10/2019;01/10/2019;2019-10-01;Renton and his mates cope with the gritty realities of heroin addiction. But when Renton gets clean, he can't get away from his friends' nasty habits.;Danny Boyle;94 min;Comedies;A;Comedies, Cult Movies, Dramas;Cult;R;1996;1990's;s7183;Trainspotting;Movie;100;1;1
Kyle MacLachlan, Elisabeth Shue, Dermot Mulroney, Richard T. Jones, Bill Smitrovich, Michael Rooker, Tori Kristiansen, Tyra Kristiansen;United States;United States;;01/01/2018;01/01/2018;2018-01-01;When a power failure throws their suburban town into chaos, Matthew and his wife stoop to desperate measures to secure medication for their child.;David Koepp;94 min;Thrillers;A;Thrillers;;R;1996;1990's;s6945;The Trigger Effect;Movie;100;1;1
Larenz Tate, Nia Long, Isaiah Washington, Lisa Nicole Carson, Bill Bellamy, Leonard Roberts, Bernadette L. Clarke, Khalil Kain;United States;United States;;01/11/2019;01/11/2019;2019-11-01;In this urban romantic comedy set in Chicago, the ups and downs of courtship play out between a young black poet and a pretty shutterbug.;Theodore Witcher;109 min;Comedies;A;Comedies, Dramas, Independent Movies;Dramas,;R;1997;1990's;s3764;Love Jones;Movie;100;1;1
Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith;United States;United States;;01/01/2020;01/01/2020;2020-01-01;Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.;Kevin Smith;113 min;Comedies;A;Comedies, Cult Movies, Dramas;Cult;R;1997;1990's;s1289;Chasing Amy;Movie;100;1;1
Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur, Tony Goldwyn, Jay O. Sanders, Bill Nunn, Brian Cox;United States;United States;;01/01/2020;01/01/2020;2020-01-01;A forensic psychologist teams up with an escaped kidnapping victim to hunt down a serial killer who abducts and dominates strong-willed women.;Gary Fleder;116 min;Thrillers;A;Thrillers;;R;1997;1990's;s3414;Kiss the Girls;Movie;100;1;1
Neve Campbell, David Arquette, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf, Elise Neal, Jerry O'Connell, Timothy Olyphant, Jada Pinkett Smith, Liev Schreiber, Lewis Arquette, Duane Martin, Rebecca Gayheart, Portia de Rossi, Omar Epps, Tori Spelling, Heather Graham, Joshua Jackson, Luke Wilson;United States;United States;;01/10/2019;01/10/2019;2019-10-01;Gale has written a best-seller which has been turned into a film. As the movie premiere looms closer, the mysterious deaths begin again.;Wes Craven;121 min;Horror;A;Horror Movies;Movies;R;1997;1990's;s5443;Scream 2;Movie;100;1;1
George Clooney, Nicole Kidman, Marcel Iures, Aleksandr Baluev, Rene Medvesek, Gary Werntz, Randall Batinkoff, Jim Haynie, Alexander Strobele, Holt McCallany;United States;United States;;01/01/2020;01/01/2020;2020-01-01;After terrorists trigger a nuclear blast in Russia, a U.S. Special Forces intelligence agent and a nuclear weapons expert come to the rescue.;Mimi Leder;124 min;Action;A;Action & Adventure;&;R;1997;1990's;s6745;The Peacemaker;Movie;100;1;1
Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Zeljko Ivanek, Gerry Becker, Robert Miano, Zach Grenier;United States;United States;;01/01/2020;01/01/2020;2020-01-01;When FBI agent Joe Pistone goes undercover to infiltrate the mob, he starts to identify with the made men he's charged with taking down.;Mike Newell;127 min;Dramas;A;Dramas, Thrillers;Thrillers;R;1997;1990's;s1824;Donnie Brasco;Movie;100;1;1
Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, LisaGay Hamilton, Tommy 'Tiny' Lister, Hattie Winston, Sid Haig;United States;United States;;01/08/2019;01/08/2019;2019-08-01;When an aging flight attendant's caught smuggling cash and forced to help with an investigation, she hatches a clever plan to make off with the dough.;Quentin Tarantino;154 min;Dramas;A;Dramas, Thrillers;Thrillers;R;1997;1990's;s3104;Jackie Brown;Movie;100;1;1
Bill Bellamy, Natalie Desselle, Lark Voorhies, Mari Morrow, Pierre Edwards, Jermaine 'Huggy' Hopkins, Anthony Johnson, Max Julien, Beverly Johnson, Gilbert Gottfried, Bernie Mac;United States;United States;;01/11/2019;01/11/2019;2019-11-01;Dray lives life one woman at a time and is the envy of all his friends, until his sister decides to show him the error of his philandering ways.;Lionel C. Martin;94 min;Comedies;A;Comedies;;R;1997;1990's;s2842;How to Be a Player;Movie;100;1;1
Charlie Sheen, Chris Tucker, Heather Locklear, Paul Sorvino, Gérard Ismaël, Damian Chapa, Elise Neal, Michael Wright, Veronica Cartwright;United States;United States;;01/11/2019;01/11/2019;2019-11-01;TV news reporter James Russell helps put small-time criminal Franklin Hatchett in jail, but turns to protecting Hatchett when he escapes from prison.;Brett Ratner;96 min;Action;A;Action & Adventure, Comedies;&;R;1997;1990's;s4178;Money Talks;Movie;100;1;1
Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee;United Kingdom, United States;United Kingdom;United States;01/01/2020;01/01/2020;2020-01-01;After a signal is received from a long-missing spaceship, a rescue ship investigates, but the crew soon realizes something unimaginable has happened.;Paul W.S. Anderson;96 min;Horror;A;Horror Movies, Sci-Fi & Fantasy;Movies,;R;1997;1990's;s2044;Event Horizon;Movie;100;1;1
Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh, Nicholas Rowe, Nick Marcq, Charles Forbes, Vinnie Jones, Lenny McLean;United Kingdom;United Kingdom;;01/01/2019;01/01/2019;2019-01-01;Hoping to make a bundle in a high-stakes poker game, four shiftless lads from London's East End instead find themselves swimming in debt.;Guy Ritchie;108 min;Action;A;Action & Adventure, Comedies, Independent Movies;&;R;1998;1990's;s3696;Lock, Stock and Two Smoking Barrels;Movie;100;1;1
Johnny Depp, Benicio Del Toro, Tobey Maguire, Ellen Barkin, Gary Busey, Christina Ricci, Mark Harmon, Cameron Diaz, Katherine Helmond, Michael Jeter, Craig Bierko, Lyle Lovett, Flea, Christopher Meloni, Harry Dean Stanton, Tim Thomerson;United States;United States;;01/11/2019;01/11/2019;2019-11-01;A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.;Terry Gilliam;118 min;Comedies;A;Comedies, Cult Movies, Dramas;Cult;R;1998;1990's;s2136;Fear and Loathing in Las Vegas;Movie;100;1;1
Matt Damon, Edward Norton, John Turturro, Gretchen Mol, Famke Janssen, John Malkovich, Martin Landau, Michael Rispoli, Josh Mostel, Tom Aldredge;United States;United States;;01/11/2019;01/11/2019;2019-11-01;"A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days.";John Dahl;121 min;Dramas;A;Dramas;;R;1998;1990's;s5289;Rounders;Movie;100;1;1
Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas, Gabriel Casseus, Michael J. Pagan, Robert Joy;United States;United States;;01/11/2019;01/11/2019;2019-11-01;A tough homicide cop faces his most dangerous assignment when he must stop a murderous evil spirit who can move from one host to the next.;Gregory Hoblit;124 min;Thrillers;A;Thrillers;;R;1998;1990's;s2098;Fallen;Movie;100;1;1
Kurt Cobain, Courtney Love;United Kingdom;United Kingdom;;08/01/2019;08/01/2019;2019-01-08;This film charts Nirvana's Kurt Cobain's rise to fame, his drug-addled romance with Courtney Love and the conspiracy theories surrounding his death.;Nick Broomfield;95 min;Documentaries;A;Documentaries, Music & Musicals;Music;R;1998;1990's;s3475;Kurt & Courtney;Movie;100;1;1
Tommy Lee Jones, Ashley Judd, Bruce Greenwood, Annabeth Gish, Roma Maffia, Jay Brazeau, Michael Gaston, Daniel Lapaine;United States, Germany, Canada;United States;Germany;01/07/2020;01/07/2020;2020-07-01;"After being framed and serving time for her husband's supposed murder, Libby decides to kill her ""late"" husband for good.";Bruce Beresford;105 min;Thrillers;A;Thrillers;;R;1999;1990's;s1834;Double Jeopardy;Movie;100;1;1
Demián Bichir, Susana Zabaleta, Jorge Salinas, Cecilia Suárez, Victor Huggo Martin, Mónica Dionne, Angélica Aragón, Laura Almela;Mexico;Mexico;;15/12/2017;15/12/2017;2017-12-15;Passions flare and alliances form when neighbors Ana and Miguel each start an affair with former lovers, right under their spouses' noses.;Antonio Serrano;111 min;Comedies;A;Comedies, Dramas, International Movies;Dramas,;R;1999;1990's;s5527;Sexo, Pudor y Lagrimas;Movie;100;1;1
Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory;United States;United States;;01/11/2019;01/11/2019;2019-11-01;A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free.;Lilly Wachowski, Lana Wachowski;136 min;Action;A;Action & Adventure, Sci-Fi & Fantasy;&;R;1999;1990's;s6649;The Matrix;Movie;100;1;1
Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett, Philip Seymour Hoffman, Jack Davenport, James Rebhorn, Sergio Rubini, Philip Baker Hall, Celia Weston;United States;United States;;01/01/2020;01/01/2020;2020-01-01;A charming sociopath maneuvers into the lush life of a young heir. But as he embraces the posh lifestyle, he'll stop at nothing to hold onto it.;Anthony Minghella;139 min;Dramas;A;Dramas, Thrillers;Thrillers;R;1999;1990's;s6921;The Talented Mr. Ripley;Movie;100;1;1
Jeremy Blackman, Tom Cruise, Melinda Dillon, April Grace, Luis Guzmán, Philip Baker Hall, Philip Seymour Hoffman, Ricky Jay, William H. Macy, Alfred Molina, Julianne Moore, Michael Murphy, John C. Reilly, Jason Robards, Melora Walters;United States;United States;;01/01/2020;01/01/2020;2020-01-01;Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.;Paul Thomas Anderson;189 min;Dramas;A;Dramas, Independent Movies;Independent;R;1999;1990's;s3861;Magnolia;Movie;100;1;1
Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac;United States;United States;;01/01/2020;01/01/2020;2020-01-01;Director Spike Lee documents the last night of the hit comedy tour featuring comics Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac.;Spike Lee;111 min;Stand-Up;A;Stand-Up Comedy;Comedy;R;2000;2000's;s6727;The Original Kings of Comedy;Movie;100;1;1
Wesley Snipes, Anne Archer, Maury Chaykin, Marie Matiko, Cary-Hiroyuki Tagawa, Michael Biehn, Donald Sutherland, Liliana Komorowska, James Hong;United States, Canada;United States;Canada;01/07/2020;01/07/2020;2020-07-01;Framed for the murder of an ambassador, a former member of the United Nations' elite covert action unit will do whatever it takes to clear his name.;Christian Duguay;117 min;Action;A;Action & Adventure;&;R;2000;2000's;s6095;The Art of War;Movie;100;1;1
David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Lance Henriksen, Matt Keeslar, Jenny McCarthy, Emily Mortimer, Parker Posey, Deon Richmond, Kelly Rutherford, Liev Schreiber, Patrick Warburton, Jamie Kennedy;United States;United States;;01/07/2019;01/07/2019;2019-07-01;This installment of the tongue-in-cheek horror franchise finds Sidney Prescott once again battling a crazed killer – this time, on a movie set.;Wes Craven;117 min;Horror;A;Horror Movies;Movies;R;2000;2000's;s5444;Scream 3;Movie;100;1;1
Anna Faris, Jon Abrahams, Shannon Elizabeth, Shawn Wayans, Regina Hall, Marlon Wayans, Lochlyn Munro, Cheri Oteri, Carmen Electra, Dave Sheridan, Kurt Fuller, Rick Ducommun, James Van Der Beek, Keenen Ivory Wayans, Marissa Jaret Winokur, Dan Joffre;United States;United States;;01/01/2020;01/01/2020;2020-01-01;The Wayans brothers spoof some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix and American Pie.;Keenen Ivory Wayans;88 min;Comedies;A;Comedies, Horror Movies;Horror;R;2000;2000's;s5429;Scary Movie;Movie;100;1;1
Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke, Seann William Scott, Tony Todd, Daniel Roebuck, Chad Donella, Roger Guenveur Smith, Amanda Detmer;United States;United States;;01/01/2020;01/01/2020;2020-01-01;After narrowly avoiding a fatal plane explosion, a group of seemingly lucky teen classmates finds that Death is not so easily cheated.;James Wong;98 min;Cult;A;Cult Movies, Horror Movies, Thrillers;Movies,;R;2000;2000's;s2164;Final Destination;Movie;100;1;1
Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes;United States;United States;;01/10/2019;01/10/2019;2019-10-01;Maverick cop Orin Boyd joins forces with an unlikely ally in gangster Latrell Walker to take down a group of dirty Detroit cops.;Andrzej Bartkowiak;101 min;Action;A;Action & Adventure;&;R;2001;2000's;s2065;Exit Wounds;Movie;100;1;1
Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach, Will Ferrell, Jason Lee;United States;United States;;01/01/2019;01/01/2019;2019-01-01;Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production.;Kevin Smith;105 min;Comedies;A;Comedies, Cult Movies;Cult;R;2001;2000's;s3131;Jay and Silent Bob Strike Back;Movie;100;1;1
Maribel Verdú, Gael García Bernal, Diego Luna, Daniel Giménez Cacho, Ana López Mercado, Nathan Grinberg, Verónica Langer, María Aura, Giselle Audirac, Arturo Ríos, Andrés Almeida, Diana Bracho, Emilio Echevarría;Mexico;Mexico;;01/06/2017;01/06/2017;2017-06-01;When rich teens Tenoch and Julio meet the alluring, older Luisa, they try to impress her with stories of a road trip, then convince her to join them.;Alfonso Cuarón;106 min;Dramas;A;Dramas, Independent Movies, International Movies;Independent;R;2001;2000's;s7691;Y Tu Mamá También;Movie;100;1;1
Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Gary Farmer, Paul Soles, Jamie Harrold, Serge Houde;Germany, Canada, United States;Germany;Canada;28/11/2019;28/11/2019;2019-11-28;Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.;Frank Oz;124 min;Dramas;A;Dramas, Thrillers;Thrillers;R;2001;2000's;s6852;The Score;Movie;100;1;1
