,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
170,Die Pest in Florenz,1919,N/A,23 Oct 1919,92 min,"Drama, History, Horror",Otto Rippert,"Fritz Lang, Edgar Allan Poe (story ""The Masque of the Red Death"")","Theodor Becker, Karl Bernhard, Julietta Brandt, Erner Huebsch","Suddenly appearing in Florence, an evil seductress causes Cesare, the city's ruler, and his son to both fall madly in love with her. The son, killing his father before an order to torture ...",None,Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjczMDdiNjctYTQ4ZC00MTFiLTk1NjEtNmZmMDQ1ZGYyM2E5XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,147,tt0010559,movie,N/A,N/A,N/A,N/A,True,
171,The President,1919,N/A,09 Feb 1920,75 min,Drama,Carl Theodor Dreyer,"Carl Theodor Dreyer, Karl Emil Franzos (novel)","Richard Christensen, Christian Engelstoft, Hallander Helleman, Halvard Hoff","The judge in a Danish town sees his illegitimate daughter facing a trial for the murder of her newborn child, and is rather sure that she will be sentenced to death. She became pregnant ...",None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BNTUyOGY5ZGItY2EwNy00ZmQzLWE0ZWYtMjliOTE3NzQxMzI3XkEyXkFqcGdeQXVyMzE3NzIwODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,6.6,796,tt0010598,movie,N/A,N/A,N/A,N/A,True,
172,The Doll,1919,Not Rated,06 Apr 1920,66 min,"Comedy, Fantasy",Ernst Lubitsch,"E.T.A. Hoffmann (story), Hanns Kräly, Ernst Lubitsch, A.E. Willner (operetta)","Max Kronert, Hermann Thimig, Victor Janson, Marga Köhler","Forced into marriage by his uncle, a man decides to fool him by marrying a life-like mechanical doll instead.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMWY3N2RmMTctMWE3Yi00OWVhLTkyMGYtMTYyZWFhZmRmZWI0XkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,771",tt0010600,movie,N/A,N/A,N/A,N/A,True,
173,The Roaring Road,1919,Passed,27 Apr 1919,58 min,"Comedy, Drama, Sport",James Cruze,"Byron Morgan (story), Marion Fairfax (scenario)","Wallace Reid, Ann Little, Theodore Roberts, Guy Oliver","A young man pursues a young lady with the same energy he applies to his other obsession in life, auto racing.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNTdlMDNmN2UtNmRhMy00YWUyLTliY2UtYzEwNjMwZTE1MTY3XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,592,tt0010635,movie,N/A,N/A,N/A,N/A,True,
174,Scarlet Days,1919,N/A,09 Nov 1919,77 min,"Adventure, Romance, Western",D.W. Griffith,Stanner E.V. Taylor,"Richard Barthelmess, Eugenie Besserer, Carol Dempster, Clarine Seymour","A romantic bandit named Alvarez, wanted for raids on the mining camps of the California gold rush in 1849, is reformed by the love of a good woman.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYjNhMmE4OTMtMDVmMy00YTc2LTk3MjQtN2Q0NjIwNThjN2ViXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,426,tt0010662,movie,N/A,N/A,N/A,N/A,True,
175,The Sentimental Bloke,1919,N/A,04 Oct 1919,106 min,"Drama, Romance",Raymond Longford,"C.J. Dennis (poem), Raymond Longford, Lottie Lyell","Arthur Tauchert, Lottie Lyell, Gilbert Emery, Stanley Robinson",A down-at-heal ex-convict undergoes an epiphany as he experiences the love of a good woman for the first time.,"None, English",Australia,N/A,https://m.media-amazon.com/images/M/MV5BODE1MmE3NWUtYTJmZi00MmMwLTk5NDMtNDVmNDVhMWJiYWE4XkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,239,tt0010680,movie,N/A,N/A,N/A,N/A,True,
176,The Spiders - Episode 1: The Golden Sea,1919,Not Rated,08 Nov 1979,130 min,"Adventure, Western",Fritz Lang,Fritz Lang,"Carl de Vogt, Ressel Orla, Georg John, Lil Dagover","Kay Hoog finds a message that indicates that some Incas are still alive, but the secret organisation ""Die Spinnen"" wants the Incas' gold....",None,Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTY2MDFjY2QtYjY0YS00YmVkLTg1OTQtZDViYTgwZDBkNmViXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.6,"1,090",tt0010726,movie,N/A,N/A,"Decla-Bioscop AG, Decla-Film-Gesellschaft Holz &amp; Co.",N/A,True,
177,The Flame of Life,1919,N/A,14 Apr 1919,145 min,"Drama, Romance",Mauritz Stiller,"Tom Bret (titles), Johannes Linnankoski (novel), Gustaf Molander, Mauritz Stiller","Lars Hanson, Greta Almroth, Lillebil Ibsen, Louise Fahlman","Olof Koskela is the son of a rich farmer. He seduces young girls at random, until an inconsistent gesture rushes him away from home and his carefree lifestyle. Based on the 1905 novel by Finnish author Johannes Linnankoski.",None,Sweden,N/A,https://m.media-amazon.com/images/M/MV5BNDViZWFlNDEtMmE3ZC00MDViLTgxYzMtNjZhZGY5YzcxYjFlXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,154,tt0010755,movie,N/A,N/A,N/A,N/A,True,
178,True Heart Susie,1919,Not Rated,01 Jun 1919,87 min,"Comedy, Drama, Romance",D.W. Griffith,Marian Fremont (story),"Lillian Gish, Robert Harron, Wilbur Higby, Loyola O'Connor","Susie, a plain young country girl, secretly loves a neighbor boy, William. She believes in him and sacrifices much of her own happiness to promote his own ambitions, all without his ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjc1ODI3NTMxMF5BMl5BanBnXkFtZTgwMjE5MjAwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,7.0,"1,643",tt0010806,movie,11 Aug 2016,N/A,N/A,N/A,True,
179,Eerie Tales,1919,N/A,05 Nov 1919,112 min,"Fantasy, Horror, Mystery",Richard Oswald,"Anselma Heine (story ""Die Erscheinung""), Robert Liebmann (story ""Die Hand""), Edgar Allan Poe (story ""Die schwarze Katze""), Robert Louis Stevenson (story ""The Suicide Club""), Richard Oswald (story ""Der Spuk"")","Anita Berber, Conrad Veidt, Reinhold Schünzel, Hugo Döblin","A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.",N/A,Germany,N/A,https://m.media-amazon.com/images/M/MV5BZjUzZDk3OTQtNWM4OC00ZWY0LTg4ZmQtZjlkZmRmNmU0ODVjXkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,6.5,435,tt0010821,movie,N/A,N/A,N/A,N/A,True,
180,Victory,1919,Not Rated,07 Dec 1919,62 min,"Drama, Romance",Maurice Tourneur,"Joseph Conrad (novel), Jules Furthman","Jack Holt, Seena Owen, Wallace Beery, Ben Deeley","Axel Heyst, an uncommitted wanderer, has settled on an island in the South Seas. He takes pity on a troubled young woman, Lena, and gives her refuge on her island. But the piratical Mr. ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI2NDI4OTY0Ml5BMl5BanBnXkFtZTgwNzE4NDcwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",N/A,6.5,339,tt0010844,movie,01 Feb 2005,N/A,N/A,N/A,True,
181,Wagon Tracks,1919,Not Rated,29 Jul 1919,64 min,"Adventure, Mystery, Western",Lambert Hillyer,"C. Gardner Sullivan (screenplay), C. Gardner Sullivan (story)","William S. Hart, Jane Novak, Robert McKim, Lloyd Bacon","Buckskin Hamilton guides a wagon train across the wasteland, caring well for the pioneers he escorts, but hoping to solve the murder of his brother by one of the travellers.",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA1MTg4MDc2NV5BMl5BanBnXkFtZTcwNzUxNjcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,162,tt0010853,movie,24 Jan 2017,N/A,Paramount Pictures,N/A,True,
182,When the Clouds Roll by,1919,N/A,28 Dec 1919,85 min,"Action, Comedy, Romance",Victor Fleming,Thomas J. Geraghty (scenario),"Douglas Fairbanks, Albert MacQuarrie, Kathleen Clifford, Frank Campeau",Psychiatrist Dr. Ulrich Metz attempts to drive Daniel Brown to suicide.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZDEyNzZiYmQtMWE0ZS00N2QyLTg5ODMtYWE1MDQ4MzUwMzBhXkEyXkFqcGdeQXVyMzYyNzgzMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.9,803,tt0010879,movie,20 Nov 2015,N/A,Douglas Fairbanks Pictures,N/A,True,
183,The Wicked Darling,1919,N/A,24 Feb 1919,59 min,"Drama, Crime",Tod Browning,"Evelyn Campbell (story ""The Moth""), Harvey Gates, Waldemar Young (scenario)","Priscilla Dean, Wellington A. Playter, Lon Chaney, Spottiswoode Aitken","A slum girl is forced to steal for a living. After she swipes a rich society's matron's necklace, she hides out at the home of a man who turns out to be the socialite's former fiance.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI0NjM1NjU5M15BMl5BanBnXkFtZTgwNTE4NDAxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}]",N/A,6.4,332,tt0010890,movie,01 Feb 2005,N/A,N/A,N/A,True,
184,Yankee Doodle in Berlin,1919,N/A,02 Mar 1919,58 min,Comedy,F. Richard Jones,Mack Sennett (story),"Bothwell Browne, Ford Sterling, Malcolm St. Clair, Bert Roach","Behind enemy lines, Captain Bob White disguises himself as a woman in order to fool members of the German High Command, including the Kaiser himself.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMWE2MTMxZWEtYTNlOC00NTNkLWIxYTEtMzAwZmIwODFkNmI2XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,726,tt0010925,movie,25 Oct 2011,N/A,Mack Sennett,N/A,True,
185,Power,1920,N/A,07 Nov 1921,99 min,"Fantasy, Sci-Fi",Hans Werckmeister,"Hans Brennert, Friedel Köhne","Emil Jannings, John Gottowt, Hans Adalbert Schlettow, Hanna Ralph",An alien from the planet Algol gives a man a device that gives him superpowers.,None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNTIwYWFkMWQtOGIyMS00NTczLTljZTUtZWFjYTIzODU1ZjEyXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,148,tt0010953,movie,N/A,N/A,N/A,N/A,True,
186,Deception,1920,Not Rated,04 Apr 1921,133 min,"Biography, Drama, Romance",Ernst Lubitsch,"Norbert Falk, Hanns Kräly","Henny Porten, Emil Jannings, Paul Hartmann, Ludwig Hartau","The story of the ill-fated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BMzhkZWFhYjYtMGI1OC00NDJjLWE5ZGMtMjdhZTRkMzY2ZmZiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,6.6,600,tt0010962,movie,25 Jan 2017,N/A,"Universum Film A.G., Union-Film, Messter Film GmbH",N/A,True,
187,April Folly,1920,N/A,21 Mar 1920,N/A,"Drama, Crime",Robert Z. Leonard,"Adrian Johnson, Cynthia Stockley (story)","Marion Davies, Madeline Marshall, Hattie Delaro, Amelia Summerville",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0010964,movie,N/A,N/A,N/A,N/A,True,
188,Missing Husbands,1921,Not Rated,28 May 1921,172 min,"Adventure, Fantasy, Mystery",Jacques Feyder,"Pierre Benoît (novel), Jacques Feyder (adaptation)","Jean Angelo, Georges Melchior, Marie-Louise Iribe, Stacia Napierkowska","Two men, lost in the desert, meet Queen Antinea, ruler of Atlantis.","None, French","France, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BMTQ1NTQ1MTIwMV5BMl5BanBnXkFtZTgwMjQ1NTA0MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,327,tt0010969,movie,N/A,N/A,N/A,N/A,True,
189,Leaves From Satan's Book,1920,TV-14,24 Jan 1921,167 min,Drama,Carl Theodor Dreyer,"Edgar Høyer (scenario by), Marie Corelli (from a novel by)","Helge Nissen, Halvard Hoff, Jacob Texiere, Hallander Helleman","In 4 episodic tales of human suffering; the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918, Satan attempts to win God's favor.",None,Denmark,N/A,https://m.media-amazon.com/images/M/MV5BOGRmNjYxYTgtNzAwNS00ZDE3LTg5MjktMWU2MjJiYTc2OTk5XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.7,"1,106",tt0011000,movie,12 Apr 2005,N/A,Nordisk Film,N/A,True,
190,Dr. Jekyll and Mr. Hyde,1920,Unrated,28 Sep 1920,69 min,"Drama, Horror, Sci-Fi",John S. Robertson,"Robert Louis Stevenson (by), Clara Beranger (scenario)","John Barrymore, Brandon Hurst, Martha Mansfield, Charles Lane","Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMzE5YjQ0OTEtZWYxOS00OGEzLTlhYjMtMTNlOTllNGNiNDY1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.0,"4,980",tt0011130,movie,02 Feb 2016,N/A,Famous Players-Lasky Corporation,N/A,True,
191,Erotikon,1920,Not Rated,08 Nov 1920,106 min,"Comedy, Romance",Mauritz Stiller,"Ferenc Herczeg (play), Gustaf Molander (screenplay), Arthur Nordén (screenplay), Mauritz Stiller (screenplay)","Anders de Wahl, Tora Teje, Karin Molander, Elin Lagergren","EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be...","None, Swedish",Sweden,N/A,https://m.media-amazon.com/images/M/MV5BMTUxMDEwMjQ4OV5BMl5BanBnXkFtZTgwMjIyODg5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,6.5,792,tt0011157,movie,21 Dec 2016,N/A,Svensk Filmindustri (SF) AB,N/A,True,
192,Gipsy Anne,1920,N/A,11 Sep 1920,93 min,"Crime, Drama, Romance",Rasmus Breistein,"Rasmus Breistein, Kristofer Janson (novel)","Asta Nielsen, Einar Tveito, Johanne Bruhn, Lars Tvinde","The story of an orphaned girl brought up by the Storlein family. Young Anne (Asta Nielsen) is brought as an infant to the Storlein farm by her mother, who has been traveling and is in need ...",N/A,Norway,N/A,https://m.media-amazon.com/images/M/MV5BNzliNmMzODctM2RjOC00OTg2LThhYzQtNjdmNzUwZDQ0NmU0XkEyXkFqcGdeQXVyMjE4MTIyNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,89,tt0011173,movie,N/A,N/A,N/A,N/A,True,
193,The Flapper,1920,N/A,10 May 1920,88 min,Comedy,Alan Crosland,"Frances Marion (screenplay), Frances Marion (story)","Olive Thomas, Theodore Westman Jr., William P. Carleton, Warren Cook","Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI2NjczNDcxNF5BMl5BanBnXkFtZTcwMzAzMjgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,6.5,311,tt0011193,movie,N/A,N/A,"Cosmopolitan Productions, Metro-Goldwyn-Mayer",N/A,True,
194,Journey into the Night,1921,N/A,08 Aug 1921,81 min,Drama,F.W. Murnau,"Harriet Bloch (screenplay ""Der Sieger""), Carl Mayer","Olaf Fønss, Erna Morena, Conrad Veidt, Gudrun Bruun Stephensen","Dr Eigil Borne is engaged to Hélène, a girl who is madly in love with him. At Hélène's birthday celebration, Eigil invites her to a cabaret, where he meets his other love, Lily, a passionate, fiery and funny dancer.","None, German","Germany, Denmark",N/A,https://m.media-amazon.com/images/M/MV5BY2ZhYTNkNGMtZWRlMC00YmM4LTg4M2MtMmFjN2U2NmFiMGZjXkEyXkFqcGdeQXVyNDMzNDQ4ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,336,tt0011217,movie,N/A,N/A,N/A,N/A,True,
195,Genuine,1920,N/A,12 Dec 1921,88 min,Horror,Robert Wiene,Carl Mayer,"Fern Andra, Hans Heinrich von Twardowski, Ernst Gronau, Harald Paulsen","Extremely rare work of Robert Wiene. From the director and year of excellent ""The Cabinet of Dr. Caligari"" this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something.","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BYzI2ODEwMTEtNGVlOC00ZWYwLTk3MDItNDAwMTgzYzdmMzBhXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}]",N/A,6.0,895,tt0011221,movie,N/A,N/A,N/A,N/A,True,
196,The Golem,1920,Unrated,19 Jun 1921,91 min,"Fantasy, Horror","Carl Boese, Paul Wegener","Henrik Galeen, Paul Wegener","Paul Wegener, Albert Steinrück, Lyda Salmonova, Ernst Deutsch","In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution.",None,Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ5MTQxMzkxNV5BMl5BanBnXkFtZTgwNTc4MjIyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.2,"6,961",tt0011237,movie,N/A,N/A,N/A,N/A,True,
197,Headin' Home,1920,Not Rated,19 Sep 1920,71 min,"Biography, Comedy, Drama, Sport",Lawrence C. Windom,"Arthur 'Bugs' Baer (titles), Earle Browne (story)","Babe Ruth, Ruth Taylor, William Sheer, Margaret Seddon","The ""true story"" of baseball great Babe Ruth; Ruth plays himself.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAyMDM1NDAyMV5BMl5BanBnXkFtZTcwNDU3NjI0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,260,tt0011267,movie,25 Jan 2017,N/A,"Kessel &amp; Baumann, Yankee Photo Corporation",N/A,True,
198,The Swallow and the Titmouse,1924,N/A,30 Jan 1987,80 min,Drama,André Antoine,"Henri Colpi (narrative script: 1984), Gustave Grillet (screenplay)","Maguy Deliac, Pierre Alcover, Louis Ravet, Jane Maylianes","A bargeman, his wife and sister-in-law navigate the canals of northern Belgium in their two vessels, the eponymous ""L'Hirondelle et la Mésange,"" taking the time to appreciate the sites and ...","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BMTQzMjEyMDY5MF5BMl5BanBnXkFtZTgwMDUzNzExMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,173,tt0011294,movie,N/A,N/A,N/A,N/A,True,
199,L'homme du large,1920,N/A,03 Dec 1920,86 min,Drama,Marcel L'Herbier,"Marcel L'Herbier (scenario), Honoré de Balzac (novel)","Charles Boyer, Claire Prélia, Suzanne Doris, Philippe Hériat","Nolff, a tough Breton fisherman is happy: his wife has just given birth to a son, Michel. His only wish is to make him a fisherman like him. But when he becomes a man, Michel becomes a ...","None, French",France,N/A,https://m.media-amazon.com/images/M/MV5BY2ZiODA2MzItNDIyZS00MzUzLTlhNmEtZTliMjRlZDc3YTQ3XkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,197,tt0011302,movie,N/A,N/A,N/A,N/A,True,
200,Humoresque,1920,N/A,30 May 1920,60 min,Drama,Frank Borzage,"Fannie Hurst (story), Frances Marion (scenario)","Gaston Glass, Vera Gordon, Alma Rubens, Dore Davidson","Young Leon Kanter dreams of being a great violinist. His parents scrape up the money for a violin and for lessons, and Leon rewards them by becoming a great player. But as an adult, Leon ...",None,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BODAwOTEwNzctNzNlYi00MmUzLWI3ZWQtYWU3ZGMwMDEyMWQwXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,143,tt0011317,movie,N/A,N/A,N/A,N/A,True,
201,The Jack-Knife Man,1920,Approved,01 Aug 1920,60 min,Drama,King Vidor,"Ellis Parker Butler (novel), William Parker (scenario)","F.A. Turner, Harry Todd, Bobby Kelso, Willis Marks",A lonely old riverboat man is left a child by a dying mother. The old man and the boy grow to love one another. The village snoop feels the child would be better off in an orphanage and the...,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYWZiYTMzYmQtZmU4ZC00MGI1LWI5ZDQtOWIxY2JmMTY0NzNjXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,108,tt0011344,movie,N/A,N/A,N/A,N/A,True,
202,Just Pals,1920,Not Rated,18 Nov 1920,50 min,"Comedy, Drama, Western",John Ford,"John McDermott (story), Paul Schofield (scenario)","Buck Jones, Helen Ferguson, Georgie Stone, Duke R. Lee",Small-town tramp befriends runaway boy.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ1MTk1NDU4M15BMl5BanBnXkFtZTgwNTE4NDcwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",N/A,6.6,358,tt0011358,movie,20 Apr 2014,N/A,N/A,N/A,True,
203,The Monastery's Hunter,1920,N/A,N/A,70 min,Drama,Franz Osten,Ludwig Ganghofer (novel),"Fritz Greiner, Thea Steinbrecher, Toni Wittels, Carl Dalmonico",A hunter provides meat for a monastery in the mountains and finds romance as well.,None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMjc0ODRjNzAtOWJkMC00OWI3LTg0OWMtZTEyMGE3NzY3MzYxXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,112,tt0011369,movie,N/A,N/A,N/A,N/A,True,
204,Secret of the Monastery,1920,N/A,01 Jan 1920,54 min,Drama,Victor Sjöström,"Franz Grillparzer (novel), Victor Sjöström","Tore Svennberg, Tora Teje, Richard Lund, Renée Björling","Two weary travelers come upon a monastery. While staying the night, they learn of its mysterious founding.",None,Sweden,N/A,https://m.media-amazon.com/images/M/MV5BMTNkODljYzItMGRkMC00MmJmLWJlMGYtYmM5YThjOWJjYWYyXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,330,tt0011370,movie,N/A,N/A,N/A,N/A,True,
205,Kohlhiesel's Daughters,1920,N/A,05 Jul 1920,64 min,"Comedy, Romance",Ernst Lubitsch,"Hanns Kräly, Ernst Lubitsch","Jakob Tiedtke, Henny Porten, Emil Jannings, Gustav von Wangenheim","Somewhere in Southern Bavaria Xaver wants to marry Gretel, but her father Kohlhiesel wants his elder daughter Liesel to marry first. The problem is, nobody wants to marry her, because she's...","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BZWNiMWIwMjAtYmFiMi00ZmJkLTk2ZWQtOWE3MWRjY2NjNjVhXkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,278,tt0011371,movie,N/A,N/A,Messter Film GmbH,N/A,True,
206,The Last of the Mohicans,1920,Not Rated,21 Nov 1920,73 min,"Action, Adventure, Drama","Clarence Brown, Maurice Tourneur","James Fenimore Cooper (novel), Robert Dillon (scenario)","Wallace Beery, Barbara Bedford, Alan Roscoe, Lillian Hall","As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil...","None, English",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZmJkZDU2N2ItMGNiYy00MTBmLTliOTYtNDU5NTdmMjEyMDFmXkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}]",N/A,6.7,"1,143",tt0011387,movie,28 Jul 2016,N/A,Maurice Tourneur Productions,N/A,True,
207,The Love Expert,1920,N/A,18 Apr 1920,60 min,"Comedy, Romance",David Kirkland,"John Emerson, Anita Loos","Constance Talmadge, John Halliday, Arnold Lucy, Natalie Talmadge","A self-appointed ""love expert"" tries to play cupid with uneven results.",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDY4YWQ3ZDctZDU0MC00ZDQ4LTg4ZGMtNGY1MDY5MGFiZDQ0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,145,tt0011414,movie,N/A,N/A,N/A,N/A,True,
