,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
261,Bridget Jones's Diary,2001,R,13 Apr 2001,97 min,"Comedy, Drama, Romance",Sharon Maguire,"Helen Fielding (novel), Helen Fielding (screenplay), Andrew Davies (screenplay), Richard Curtis (screenplay)","Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner","Bridget Jones is an average woman struggling against her age, her weight, her job, her lack of a man, and her many imperfections. As a New Year's Resolution, Bridget decides to take control of her life, starting by keeping a diary in which she will always tell the complete truth. The fireworks begin when her charming though disreputable boss takes an interest in the quirky Miss Jones. Thrown into the mix are Bridget's band of slightly eccentric friends and a rather disagreeable acquaintance who Bridget cannot seem to stop running into or help finding quietly attractive.",English,"UK, France, USA",Nominated for 1 Oscar. Another 8 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BYjc3NjU1ZTEtNmNjNi00YzNiLWI3OWQtMTJmYTRkZDc1NDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.7,"229,202",tt0243155,movie,21 Apr 2016,"$71,543,427","Columbia, Universal Pictures, Miramax",N/A,True
262,Suspiria,2018,R,02 Nov 2018,152 min,"Fantasy, Horror, Mystery, Thriller",Luca Guadagnino,"Dario Argento (characters), Daria Nicolodi (characters), David Kajganich (screenplay)","Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela","Susie Bannion, a young American woman who travels to the prestigious Markos Tanz Company in Berlin in 1977, arriving just as one of its members, Patricia, has disappeared under mysterious circumstances. As Susie makes extraordinary progress under the guidance of Madame Blanc, the Company's revolutionary artistic director, she befriends another dancer, Sara, who shares her suspicions that the Matrons, and the Company itself, may be harboring a dark and menacing secret.","English, German, French","Italy, USA",24 wins & 70 nominations.,https://m.media-amazon.com/images/M/MV5BMjQ2MTIyNjM2MF5BMl5BanBnXkFtZTgwMDE3NDMyNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"64,279",tt1034415,movie,15 Jan 2019,"$2,483,472","First Sun, K Period Media, Videa, Frenesy Film Company",N/A,True
263,Nico and Dani,2000,R,02 Feb 2001,91 min,"Comedy, Drama, Romance",Cesc Gay,"Tomàs Aragay, Cesc Gay, Jordi Sánchez (play)","Fernando Ramallo, Jordi Vilches, Marieta Orozco, Esther Nubiola","Coming of age, on a Barcelona beach, during an eventful week: Nico arrives at Dani's for part of the summer. Dani's parents are away, Nico is keen to lose his virginity, and Dani, who's been Nico's friend since grammar school, wants time only with Nico. Dani's plans to hunt and fish are waylaid when Nico catches the eye of Elena and her cousin Berta. He wants to go to the beach with the girls, cook them dinner, and make love to at least one of them. Dani wants social and physical contact with Nico. Watching from a short distance are Sonia, Dani's tutor, and Julian, a gay writer, who picks up Dani's vibes. Can Nico and Dani sort out friendship as well as their mixed desires?","Catalan, Spanish, English",Spain,12 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BOGY4ZWE4MDEtMDcyYy00ODJiLTkwYzktNjkwMjExOWM3ZTgwXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.6,"5,933",tt0250478,movie,01 Mar 2007,"$370,562",Messidor Films,N/A,True
264,Gangster Squad,2013,R,11 Jan 2013,113 min,"Action, Crime, Drama, Thriller",Ruben Fleischer,"Will Beall, Paul Lieberman (book)","Sean Penn, Holt McCallany, Wade Williams, James Landry Hébert","It's 1949 Los Angeles, and gangster Mickey Cohen has moved in, with the intention of controlling all criminal activity in the city. He has bought local judges and police, and no one is willing to cross him or testify against him. Everyone except Sergeant John O'Mara, a former World War II soldier, whose goal is to settle with his family in a peaceful Los Angeles. Police Chief William Parker decides to form a special unit whose mission is to take down Cohen, and chooses O'Mara to lead the unit. O'Mara chooses 4 cops and asks another cop and vet, Jerry Wooters to join him but Wooters is not interested. But when he witnesses the murder of a young boy by Cohen's people, he joins them, and they decide to take apart Cohen's organization. Cohen wonders if a rival is going after him, but eventually he realizes it's the cops.",English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.7,"207,954",tt1321870,movie,17 Nov 2015,"$46,000,903","Lin Pictures, Kevin McCormick",N/A,True
265,Mrs. Lowry and Son,2019,Not Rated,01 Nov 2019,91 min,"Biography, Drama, History",Adrian Noble,Martyn Hesford,"Vanessa Redgrave, Timothy Spall, Wendy Morgan, Stephen Lord","A portrait of the artist L.S. Lowry and the relationship with his mother, who tries to dissuade him from pursuing his passion.",English,UK,4 nominations.,https://m.media-amazon.com/images/M/MV5BMmRmNzMwOTYtZTJiYi00MzlhLTgyMDMtMmU2MDUzYTY2NDEzXkEyXkFqcGdeQXVyMjc5MjYyMA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.7,"1,558",tt7590074,movie,07 Jan 2020,N/A,"Genesis Studios, Library Films",N/A,True
266,3,2010,Unrated,23 Dec 2010,119 min,"Comedy, Drama, Romance",Tom Tykwer,Tom Tykwer,"Sophie Rois, Sebastian Schipper, Devid Striesow, Angela Winkler","A Berlin-set drama centered on a 40-something couple who, separately, fall in love with the same man.","German, English",Germany,8 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMTQwMDU5MTQ1MV5BMl5BanBnXkFtZTcwNTEzMzA1Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.7,"4,989",tt1517177,movie,10 Apr 2017,"$59,954","Medienboard Berlin-Brandenburg, X-Filme Creative Pool",N/A,True
267,Flawless,2007,PG-13,28 Mar 2008,108 min,"Crime, Drama, Thriller",Michael Radford,Edward Anderson,"Demi Moore, Michael Caine, Lambert Wilson, Nathaniel Parker","London, 1960. Laura Quinn is the lone female executive at London Diamond Corporation. She is frustrated as her talents are rarely acknowledged and her less-experienced male co-workers are promoted ahead of her. She is shocked, but intrigued, when the mild-mannered night janitor, Mr. Hobbs, approaches her with a daring but simple plan to steal a handful of diamonds from the vault. Laura agrees to help, but she is soon in over her head. And it is not long before insurance investigator Mr. Finch has his eyes on her.",English,"UK, Luxembourg",N/A,https://m.media-amazon.com/images/M/MV5BMjA1NTQ2NDU5MF5BMl5BanBnXkFtZTcwODI1MzI2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.8,"23,172",tt0780516,movie,17 Feb 2017,"$1,200,234",Delux Productions,N/A,True
268,Conspiracy Theory,1997,R,08 Aug 1997,135 min,"Action, Mystery, Thriller",Richard Donner,Brian Helgeland,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart","Jerry Fletcher is a man in love with a woman he observes from afar. She works for the government. Fletcher is an outspoken critic of that government. He has conspiracy theories for everything, from aliens to political assassinations. But soon, one of his theories finds itself to be accurate. But which one? Some dangerous people want him dead and the only person he trusts is that woman he loves but does not know.",English,USA,4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjQ1MTYxMzA4OF5BMl5BanBnXkFtZTgwNjg2NTM1MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.7,"95,124",tt0118883,movie,08 May 2015,"$75,982,834","Donner/Schuler-Donner, Silver Pictures, Warner Brothers",N/A,True
269,The Old Guard,2020,R,10 Jul 2020,125 min,"Action, Adventure, Fantasy, Thriller",Gina Prince-Bythewood,"Greg Rucka (screenplay by), Greg Rucka (based on the graphic novel series by), Leandro Fernandez (illustrated by)","Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari",A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,"English, Arabic, French, Italian",USA,3 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BNDJiZDliZDAtMjc5Yy00MzVhLThkY2MtNDYwNTQ2ZTM5MDcxXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.7,"133,945",tt7556122,movie,10 Jul 2020,N/A,"Netflix, Denver and Delilah Productions, Image Comics, Dune Films, Skydance Media",N/A,True
270,Coco Before Chanel,2009,PG-13,06 Nov 2009,105 min,"Biography, Drama",Anne Fontaine,"Edmonde Charles-Roux (book), Anne Fontaine, Camille Fontaine","Audrey Tautou, Benoît Poelvoorde, Alessandro Nivola, Marie Gillain","Several years after leaving the orphanage to which her father never returned for her, Gabrielle Chanel finds herself working in a provincial bar. She's both a seamstress for the performers and a singer, earning the nickname Coco from the song she sings nightly with her sister. A liaison with Baron Balsan gives her an entrée into French society and a chance to develop her gift for designing increasingly popular hats. When she falls in love with English businessman Arthur Capel further opportunities open up, though life becomes ever more complicated.","French, English","France, Belgium",Nominated for 1 Oscar. Another 5 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMTA0NjYzMzQxNzBeQTJeQWpwZ15BbWU3MDI2MDA0ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.7,"39,107",tt1035736,movie,16 Apr 2012,"$6,113,834","France 2 (FR2), Le Tax Shelter du Gouvernement Fédéral de Belgique, France 2 Cinéma, Films Distribution, Banque Populaire Images 9, SCOPE Invest, Warner Bros., Soficapital, Cofinova 5, Haut et Court, Canal+, Ciné, Scope Pictures, CinéCinéma",N/A,True
271,So Close,2002,R,12 Sep 2002,111 min,"Action, Crime, Thriller",Corey Yuen,Jeffrey Lau,"Qi Shu, Wei Zhao, Karen Mok, Song Seung-heon","The brothers Chow Nunn and Chow Lui's giant computer company is facing a tense crisis - a powerful computer virus is rapidly wiping out their computer network. At the last minute a cyber-friend arrives to join the battle. The mysterious 'Angel.com' battles the virus and saves the company. Invited by Chow Lui for a visit in person, Angel.com arrives in the form of the beautiful Lynn. But it turns out Lynn is a professional assassin with amazing high-tech and kung fu skills. She kills Chow Lui with cyanide hidden in a pair of sunglasses. She's aided by her sister Sue, who operates the pair's World Panorama surveillance system, which allows them to tap into any video security system in the world. Young cop Kong Yat Hong and her partner Mark are put on the case. Hong has a brilliant mind and immediately senses she's dealing with a killer with very special skills. Realizing they are facing a tough adversary, Lynn and Sue become fascinated with Hong as well. Lynn runs into Yan, the cousin of an old friend who died. Lynn and Yan shared an unspoken love in the past which is now rekindled in the open, and Lynn begins to question whether she wants to continue to be an assassin. Chow Nunn was behind his older brother's death. He hired Angel.com to kill Lui because Lui opposed Nunn's business plans, and also because Nunn is carrying on a secret affair with Lui's wife. But when Hong's investigation starts to point to Nunn, Nunn becomes worried and decides to hire Angel.com for another hit ^Ö only so he can double-cross them, wipe them out and prevent them from leading the police back to him. Yan tells Lynn he loves her and wants to marry her. After battling an attack by robbers with her amazing martial arts skills, she tells Yan her family's history. Her father invented the World Panorama for use by the authorities, but was turned down. Suspiciously, word of the device got out to the underworld and both parents were brutally killed in front of the girls' eyes by criminals eager to get their hands on the invention. Bereft at the loss of their parents and disillusioned with the law, the sisters turned professional assassins, killing criminals for other criminals. Lynn tells Sue she wants to stop their criminal life and get married ^Ö she won't accept Chow Nunn's order for the second killing. But Sue, angry and feeling abandoned by Lynn, decides to carry out the killing herself. Lynn realizes what's happening and rushes to save Sue, who doesn't have the skills to carry out the hit. They are attacked by Chow's men but escape. Now the assassin and the cop must join forces - so Sue can avenge her sister's death and Hong can prove her innocence in a spectacular confrontation at Chow Nunn's headquarters...","Mandarin, Cantonese, English",Hong Kong,1 nomination.,https://m.media-amazon.com/images/M/MV5BOWFkOWVmZTQtNDQ5MS00NmUwLThhNjEtYWI4MWEwM2Y3MTFmXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.7,"7,342",tt0300620,movie,01 Jan 2012,"$76,584",Columbia,N/A,True
272,Mystery Team,2009,R,17 Jan 2009,97 min,"Comedy, Crime, Mystery",Dan Eckman,"D.C. Pierson (screenplay), Donald Glover (screenplay), Dominic Dierkes (screenplay), Dan Eckman (story), Dominic Dierkes (story), Donald Glover (story), Meggie McFadden (story), D.C. Pierson (story)","Donald Glover, D.C. Pierson, Dominic Dierkes, Aubrey Plaza","Three clueless high school nerds, best friends for years, call themselves the ""Mystery Team"" and solve neighborhood crimes - such as who poked a finger in a pie cooling on a window ledge - cute at seven but foolish at 18. Then, one morning, a young girl pays them a dime to find out who murdered her parents the night before and took her grandmother's ring. Using inept methods, the team lucks onto the trail of the bad guys. Can they bumble to success and a renewed reputation? And what about coming of age?",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA0MzI5ODYyMl5BMl5BanBnXkFtZTcwNTEwOTQzMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.7,"8,885",tt1237838,movie,15 Oct 2016,"$89,442",Derrick Comedy,N/A,True
273,Film Stars Don't Die in Liverpool,2017,R,16 Nov 2017,105 min,"Biography, Drama, Romance",Paul McGuigan,"Peter Turner (based on the book ""Films Stars Don't Die in Liverpool"" by), Matt Greenhalgh (screenplay by)","Annette Bening, Jamie Bell, Kenneth Cranham, Julie Walters",A romance sparks between a young actor and a Hollywood leading lady.,English,UK,Nominated for 3 BAFTA Film Awards. Another 2 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BYTEzNWZjNWMtZDUxYi00M2MwLTk1NmYtMTVmYTg5ZDAwMTBhXkEyXkFqcGdeQXVyNDE0MzQxNjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.7,"8,844",tt5711148,movie,09 Apr 2018,"$1,026,124","Eon Productions Ltd., Synchronistic Pictures",N/A,True
274,Layla M.,2016,N/A,17 Nov 2016,98 min,Drama,Mijke de Jong,"Jan Eilander, Mijke de Jong","Nora El Koussour, Ilias Addab, Hassan Akkouch, Yasemin Cetinkaya","Layla is an 18-year old girl, born and raised in Amsterdam. Layla is smart, witty and stubborn - and of Moroccan background. In the times of constant terrorist threat, she struggles with the increasing suspicion towards girls with headscarves and boys with beards that she witnesses every day. While her frustration grows, her faith intensifies. Eventually, she joins a group of Muslims who fight for their practice of Islam. Layla posts films online depicting the horrors in Syria and Gaza and makes political flyers. And she flirts with the charismatic Abdel. When her peaceful brother and she are arrested by the police, Layla, feeling hurt and isolated in her anger, more and more in conflict with her parents, is left with only one option: to leave home. She chooses marriage, with Abdel. After their wedding, Layla and Abdel roam the country together, perform 'missionary work', and raise money for the good cause. But after they narrowly escape a raid by the Belgian police on a group of young jihadists, they have to flee, to the Middle East. Layla encounters a world that nurtures her ideas initially, but finally confronts her with an impossible choice.","Arabic, English, Dutch","Netherlands, Belgium, Germany, Jordan",6 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BZTFjMmFhMjYtNjY5MC00YTI0LWFlYTUtZWI2ZTEzZTdmNTc0XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.7,"1,528",tt5712152,movie,N/A,N/A,"Chromosom Filmproduktion, Topkapi Films, Schiwago Film GmbH",N/A,True
275,The Spoilers,1942,Approved,11 Jun 1942,87 min,"Drama, Western",Ray Enright,"Rex Beach (novel), Lawrence Hazard (screenplay), Tom Reed (screenplay)","Marlene Dietrich, Randolph Scott, John Wayne, Margaret Lindsay","In Nome, Alaska, miner Roy Glennister and his partner Dextry, financed by saloon entertainer Cherry Malotte, fight to save their gold claim from crooked commissioner Alexander McNamara.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BM2Y3MzMzNWUtNjI2Zi00OGY5LTk3NWUtYzg1OWZlY2E5N2E4XkEyXkFqcGdeQXVyNTk1MTk0MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.7,"2,519",tt0035369,movie,26 Nov 2015,N/A,Universal Pictures,N/A,True
276,L'étudiante et Monsieur Henri,2015,N/A,07 Oct 2015,98 min,"Comedy, Drama",Ivan Calbérac,"Ivan Calbérac (play), Ivan Calbérac (dialogue), Ivan Calbérac (screenplay)","Claude Brasseur, Guillaume de Tonquédec, Noémie Schmidt, Frédérique Bel",An elderly curmudgeon lets out a room in his large apartment rent-free to a young student - on condition that she does everything in her power to ruin his son's marriage.,French,France,1 win.,https://m.media-amazon.com/images/M/MV5BNjdhYWJhZGItZWY0OS00ZWU0LWE5NDAtMjNlM2UyZDlhNDNkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"3,699",tt4948452,movie,N/A,$761,N/A,N/A,True
277,Sleeping Giant,2015,Not Rated,28 Jun 2016,89 min,"Adventure, Drama",Andrew Cividino,"Andrew Cividino, Blain Watters, Aaron Yeger","Jackson Martin, Nick Serino, Reece Moffett, Katelyn McKerracher","The Hudsons - husband and wife William and Linda, and their fifteen year old son Adam - are spending the summer, like they have the several recent past summers, at their cottage on the northwestern shore of Lake Superior. William and Linda are still trying to perpetuate them being the perfect family, which they have been able to do as Adam is still closer emotionally to childhood than he is to adulthood and still largely follows parental rules. However, William wants to be both Adam's father and best friend as he is encouraging Adam to pursue Taylor, a similarly aged girl Adam has known forever at the lake. Adam doesn't want to admit to anyone that he does like Taylor in that way, he justifying his non-action by not wanting to ruin their friendship. This summer for the first time, Adam hangs out with cousins Riley and Nate, who are a little rougher around the edges than him. They are spending the summer with their permissive grandmother, Riley living with her permanently since the death of his parents. Riley and Nate's relationship is characterized by roughhousing, smoking (both cigarettes and weed), petty theft, hazing type rituals such as vandalism, and oneupmanship in the form of dares in feats of what they see as masculinity. Adam gets caught up in their life, with William's blessing in wanting again to act the friend, although Adam does consider Riley a true friend, the more sensitive one, as opposed to Nate who is all teen bravado. Adam has reason to be drawn more to the cousins than to his parents this summer, in him discovering that his family is less than perfect. However, as Adam tries to be who everyone wants him to be, he may have to grow up quickly without that true responsible guidance to show him the way.",English,Canada,11 wins & 18 nominations.,https://m.media-amazon.com/images/M/MV5BYTA0OWE3YjEtNTkwMS00YmNjLTg1YzMtOTExMDVlNWYxNDhiXkEyXkFqcGdeQXVyMzEyNzYxODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.7,"1,610",tt3778086,movie,10 Aug 2016,N/A,N/A,N/A,True
278,Midori,1992,N/A,N/A,56 min,"Animation, Drama, Horror, Romance",Hiroshi Harada,"Hiroshi Harada (screenplay), Suehiro Maruo (manga)","Minako Naka, Norihiko Morishita, Keinosuke Okamoto, Kazuyoshi Hayashi","Midori, is a young, and vibrant girl who enjoys her school and classes, but after her mother became very ill, and their dad evaded contact with her, her mom dies from her ailments. Midori is then tricked by a circus producer to enter his funfair, where she is consistently raped and abused by the circus folk, but when she is on the edge of giving up hope, she is acquainted by a dwarf, and her whole world changes.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZGVhNGVjZjEtMTUyNS00NmEwLWE0ODMtNzhkZTk4Njc1ZWEzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}]",N/A,6.7,"1,958",tt0930902,movie,N/A,N/A,Kiryûkan,N/A,True
279,Unfaithful,2002,R,10 May 2002,124 min,"Drama, Romance, Thriller",Adrian Lyne,"Claude Chabrol (film ""La Femme infidèle""), Alvin Sargent (screenplay), William Broyles Jr. (screenplay)","Diane Lane, Erik Per Sullivan, Richard Gere, Olivier Martinez","Connie Sumner has a loving husband, a beautiful home, and a wonderful son, but she wants more. When she's approached one day by a handsome stranger while trying to hail a taxi, she becomes obsessed with him and eventually starts an affair. But her selfish actions soon catch up with her...","English, French","France, Germany, USA",Nominated for 1 Oscar. Another 3 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BYTQzZTE2N2QtM2QwMS00ZjUwLTg4ZDEtYjJiOTMwZjYxODJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.7,"81,853",tt0250797,movie,12 Dec 2015,"$52,775,765",Regency Enterprises,N/A,True
280,The Children of Noisy Village,1986,N/A,06 Dec 1986,87 min,Family,Lasse Hallström,"Astrid Lindgren (novels), Astrid Lindgren (screenplay)","Linda Bergström, Crispin Dickson Wendenius, Henrik Larsson, Ellen Demérus","The story of the children who live in Bullerbyn, Sweden, through the spring and summer months.",Swedish,Sweden,N/A,https://m.media-amazon.com/images/M/MV5BMTc1NjE2MTcxMl5BMl5BanBnXkFtZTcwODEzNTIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,981",tt0090610,movie,N/A,N/A,N/A,N/A,True
281,Dracula: Prince of Darkness,1966,Unrated,12 Jan 1966,90 min,Horror,Terence Fisher,"Jimmy Sangster (screenplay), Anthony Hinds (from an idea by), Bram Stoker (based on characters created by)","Christopher Lee, Barbara Shelley, Andrew Keir, Francis Matthews","Two couples traveling in eastern Europe decide to visit Karlsbad despite dire local warnings. Left outside the village by a coachman terrified at the approach of night, they find themselves in the local castle and are surprised at the hospitality extended by the sinister Klove. It turns out the owner, Count Dracula, dead for ten years, has been hoping for such a visit.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZDZiNWEzNTgtMDNkYS00YWY3LTg3ZmUtZDllMDFhZDUwYjIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.8,"9,037",tt0059127,movie,N/A,N/A,"Seven Arts Productions, Hammer Film Productions Limited",N/A,True
282,The Bridge at Remagen,1969,R,23 Oct 1969,115 min,"Action, Drama, War",John Guillermin,"Richard Yates (screenplay), William Roberts (screenplay), Roger O. Hirson (story)","George Segal, Robert Vaughn, Ben Gazzara, Bradford Dillman","In the last days of World War II, the Allied Army desperately searched for a bridgehead across the impenetrable Rhine River, in order to launch a major assault into the center of Germany. ""Bridge at Remagen"" tells the true story of the battle for this last bridgehead, from both the German and American perspective.","English, German",USA,N/A,https://m.media-amazon.com/images/M/MV5BNjNkMzkxM2QtMTkwNy00NGI3LTgxYWMtMmNmZjc5OTI3OWY4XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,6.7,"8,826",tt0064110,movie,12 May 2016,N/A,Wolper Pictures,N/A,True
283,Gidget,1959,Not Rated,10 Apr 1959,95 min,Comedy,Paul Wendkos,"Gabrielle Upton (screenplay), Frederick Kohner (novel)","Sandra Dee, James Darren, Cliff Robertson, Arthur O'Connell","Due to an accident while swimming in the sea, Francis meets the surfer Moondoggy. She's fascinated of his sport and starts to hang out with his clique. Although they make fun of her at first, they teach her to surf. Soon she's accepted and given the nickname ""Gidget"". But it's hard work to become more than a friend to Moondoggy.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjI4ODQzMjgxNl5BMl5BanBnXkFtZTgwOTQzMTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.7,"3,076",tt0052847,movie,30 Jul 2013,N/A,Columbia Pictures Corporation,N/A,True
284,Dance with a Stranger,1985,R,09 Aug 1985,96 min,"Biography, Crime, Drama",Mike Newell,Shelagh Delaney,"Miranda Richardson, Rupert Everett, Ian Holm, Matthew Carroll","Ruth Ellis lives with her 10-year old son Andy next to a night club. One night she meets David Blakely, and they start a love affair. However, for David with his upper-class background it is impossible to uphold the relationship. He breaks up with her, something which makes Ellis, obsessed by him, very upset...",English,UK,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMzIyNjIzOTE5N15BMl5BanBnXkFtZTgwODIxOTc0MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",N/A,6.7,"2,459",tt0088987,movie,30 Nov 2016,"$2,174,622","Goldcrest Films International, Film Four International, National Film Finance Corporation",N/A,True
285,Panic,2000,R,26 Apr 2001,88 min,"Comedy, Crime, Drama",Henry Bromell,Henry Bromell,"William H. Macy, John Ritter, Neve Campbell, Donald Sutherland","Alex, a sad-eyed mournful man, goes into psychotherapy: he discloses he's a hit man. He also tells the doctor, after a few sessions, that he's attracted to a young woman he's met in the waiting room. She's Sarah, 23, quick, edgy, and perhaps attracted to him as well. But he's married, the dutiful father of a young precocious boy, so Sarah brushes him off. In flashbacks we see him get his start as a killer, at his father's prompting: it's the family business. Dad gives Alex his next assignment: to kill the therapist. Alex keeps returning to Sarah, calling her, stopping by her apartment, as he decides what to do about the hit, his father, his marriage, and his malaise.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BNTRhNjQzMmItZDMzMC00YjI1LWE5ZDktNDEzODBkYmJkYmNkXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,6.7,"8,024",tt0194218,movie,23 Nov 2016,"$779,137","Tin Toy Productions, Llc, Mad Chance, Vault, Artisan Entertainment",N/A,True
