,carat,cut,color,clarity,depth,table,x,y,z,price
4050,1.0,Ideal,E,VS2,61.6,57.0,6.44,6.38,3.95,6720
4051,0.43,Ideal,G,IF,61.6,57.0,4.81,4.84,2.97,1280
4052,0.56,Ideal,F,VS1,61.7,56.0,5.28,5.32,3.27,1915
4053,1.2,Very Good,H,SI1,63.5,58.0,6.69,6.73,4.26,5443
4054,1.51,Good,H,VVS2,63.1,59.0,7.26,7.28,4.59,11826
4055,0.53,Very Good,D,VS1,60.5,58.0,5.27,5.3,3.2,2170
4056,0.7,Good,H,I1,56.5,57.0,5.97,5.86,3.33,1134
4057,0.3,Ideal,F,IF,60.5,60.0,4.34,4.36,2.63,873
4058,0.3,Very Good,G,VVS1,63.2,58.0,4.25,4.23,2.68,1013
4059,1.83,Premium,I,VS2,60.5,60.0,7.93,7.86,4.78,10043
4060,2.0,Very Good,E,SI2,60.5,60.0,8.03,8.08,4.87,16064
4061,0.52,Premium,E,SI1,60.9,58.0,5.21,5.17,3.16,1387
4062,0.34,Ideal,I,VS1,62.4,55.0,4.51,4.47,2.8,689
4063,1.07,Ideal,G,VS1,62.2,56.0,6.53,6.56,4.07,7748
4064,0.3,Ideal,G,IF,62.5,54.0,4.31,4.33,2.7,863
4065,0.51,Very Good,F,VS2,62.9,55.0,5.08,5.12,3.21,1569
4066,0.55,Ideal,G,VS2,61.8,55.0,5.25,5.3,3.26,1715
4067,0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1726
4068,0.33,Ideal,E,IF,61.9,57.0,4.45,4.41,2.74,1207
4069,2.0,Fair,H,SI2,67.9,55.0,7.67,7.58,5.18,10913
4070,0.35,Ideal,I,IF,61.8,55.0,4.55,4.57,2.82,715
4071,1.5,Premium,G,SI1,62.3,58.0,7.27,7.33,4.55,10428
4072,1.34,Ideal,G,VVS1,62.2,56.0,7.11,7.04,4.4,11640
4073,0.54,Ideal,D,VS2,61.1,56.0,5.29,5.25,3.22,1993
4074,1.55,Ideal,I,SI1,62.3,54.8,7.37,7.39,4.61,9117
4075,1.01,Good,G,SI2,63.8,56.0,6.32,6.22,4.0,3620
4076,1.21,Ideal,F,VVS1,61.1,57.0,6.87,6.91,4.21,12556
4077,1.2,Very Good,G,VS2,62.2,57.0,6.75,6.78,4.21,7983
4078,1.5,Premium,E,VVS2,58.7,61.0,7.49,7.36,4.36,17667
4079,1.01,Very Good,G,I1,63.1,60.0,6.42,6.25,3.99,2108
4080,1.0,Premium,G,VVS2,60.5,62.0,6.44,6.39,3.88,7392
4081,0.58,Ideal,G,VS2,60.6,55.0,5.42,5.45,3.3,1719
4082,1.04,Very Good,D,VVS2,60.8,58.0,6.49,6.53,3.96,10130
4083,0.25,Very Good,E,VVS2,59.8,59.0,4.07,4.09,2.44,575
4084,1.01,Good,F,SI2,58.2,61.0,6.47,6.53,3.78,4140
4085,1.18,Premium,H,SI1,61.8,58.0,6.74,6.79,4.18,5696
4086,0.3,Good,H,VVS2,63.7,55.0,4.27,4.24,2.71,776
4087,0.9,Very Good,F,SI1,58.0,63.0,6.33,6.25,3.65,4435
4088,0.41,Premium,J,VVS1,62.2,59.0,4.75,4.71,2.94,994
4089,0.42,Very Good,E,SI1,62.8,59.0,4.74,4.78,2.99,773
4090,0.32,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,505
4091,0.59,Ideal,G,VS1,62.1,55.0,5.35,5.4,3.34,1916
4092,1.21,Ideal,H,SI1,60.3,60.0,6.9,6.87,4.15,6620
4093,0.34,Ideal,E,SI1,62.2,55.0,4.49,4.45,2.78,765
4094,1.03,Very Good,G,VS2,62.3,57.0,6.43,6.51,4.03,6036
4095,1.5,Premium,J,SI1,61.7,59.0,7.36,7.32,4.53,7258
4096,1.41,Premium,F,SI2,62.7,56.0,7.21,7.15,4.5,7817
4097,1.1,Very Good,H,SI1,63.0,57.0,6.5,6.54,4.11,4689
4098,1.01,Premium,D,SI2,61.8,57.0,6.47,6.42,3.98,4338
4099,1.03,Ideal,F,I1,61.1,55.0,6.51,6.54,3.99,3444
4100,0.9,Very Good,E,SI2,63.7,56.0,6.08,6.13,3.89,3482
4101,0.78,Premium,F,VS2,62.6,58.0,5.91,5.82,3.67,2874
4102,0.59,Very Good,I,VS2,61.2,57.0,5.4,5.42,3.31,1445
4103,1.21,Very Good,H,VS2,62.1,60.0,6.77,6.83,4.22,6745
4104,0.38,Very Good,F,VS1,59.7,61.0,4.69,4.73,2.81,988
4105,2.06,Premium,I,SI2,61.0,61.0,8.18,8.1,5.02,13912
4106,0.5,Ideal,E,VS1,62.0,58.0,5.09,5.14,3.17,1755
4107,1.16,Ideal,G,IF,62.0,57.0,6.7,6.73,4.16,9901
4108,0.32,Ideal,H,VS2,62.8,55.0,4.41,4.38,2.76,648
4109,0.39,Ideal,G,SI1,61.0,55.0,4.75,4.82,2.92,675
4110,0.46,Ideal,F,VS1,62.7,56.0,4.91,4.94,3.09,1418
4111,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4932
4112,1.0,Ideal,I,SI1,61.5,57.0,6.39,6.43,3.94,4649
4113,1.21,Very Good,F,SI2,62.7,57.0,6.74,6.81,4.25,5290
4114,1.01,Good,G,VS2,63.9,54.0,6.37,6.31,4.05,5701
4115,0.52,Premium,G,VS2,62.1,58.0,5.18,5.15,3.21,1577
4116,0.4,Very Good,G,VS1,60.0,56.0,4.81,4.85,2.9,853
4117,1.11,Ideal,H,SI2,62.0,54.0,6.61,6.64,4.11,4578
4118,1.62,Ideal,I,VS2,61.8,55.0,7.56,7.59,4.68,11217
4119,1.51,Premium,J,SI1,59.4,59.0,7.45,7.54,4.45,6851
4120,1.12,Ideal,H,SI2,63.6,56.0,6.68,6.54,4.19,5331
4121,0.31,Ideal,F,VVS1,62.0,54.0,4.36,4.38,2.71,840
4122,1.01,Ideal,F,SI2,62.5,55.0,6.4,6.39,4.0,4497
4123,0.82,Ideal,F,SI2,61.7,53.0,6.0,6.12,3.74,2841
4124,0.33,Very Good,D,SI1,63.1,55.0,4.4,4.38,2.77,728
4125,1.13,Premium,H,SI2,60.7,54.0,6.82,6.72,4.11,4873
4126,0.31,Ideal,G,SI1,62.2,55.0,4.36,4.38,2.72,462
4127,0.4,Ideal,G,SI1,60.2,56.0,4.77,4.83,2.89,702
4128,0.91,Ideal,E,SI1,61.9,55.0,6.18,6.22,3.84,4623
4129,0.51,Very Good,D,SI1,63.0,58.0,5.05,5.07,3.19,1442
4130,0.4,Premium,G,VS1,60.3,59.0,4.8,4.76,2.88,1125
4131,0.25,Very Good,D,VS1,60.8,60.0,4.07,4.09,2.48,388
4132,0.4,Premium,G,SI1,62.0,59.0,4.7,4.72,2.92,702
4133,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,3220
4134,0.9,Good,E,SI1,58.1,64.0,6.26,6.28,3.64,3884
4135,0.36,Ideal,G,VVS2,61.8,54.0,4.59,4.61,2.84,794
4136,0.75,Ideal,E,VS1,62.0,55.0,5.88,5.83,3.66,3402
4137,0.33,Ideal,G,VVS1,61.7,55.0,4.48,4.5,2.77,838
4138,0.41,Premium,I,VVS2,62.9,58.0,4.74,4.71,2.97,1061
4139,0.56,Premium,F,VS1,58.2,60.0,5.41,5.38,3.14,2016
4140,1.21,Premium,G,SI2,59.1,55.0,7.04,6.98,4.14,5184
4141,0.58,Very Good,F,VVS2,62.6,56.0,5.37,5.27,3.33,2189
4142,1.54,Premium,I,SI2,59.4,61.0,7.56,7.49,4.47,7727
4143,0.4,Ideal,J,SI1,61.6,56.0,4.72,4.77,2.93,612
4144,0.96,Premium,G,SI2,62.7,60.0,6.29,6.11,3.89,3215
4145,0.59,Ideal,E,VVS2,61.0,58.0,5.39,5.43,3.3,2515
4146,1.51,Fair,G,VS1,64.9,55.0,7.25,7.14,4.67,11739
4147,0.7,Ideal,I,SI1,61.8,57.0,5.67,5.72,3.52,2436
4148,0.63,Ideal,I,VVS1,62.8,58.0,5.44,5.49,3.43,2064
4149,1.03,Very Good,G,VS1,63.0,56.0,6.43,6.46,4.06,6539
4150,0.81,Ideal,F,SI1,61.8,55.0,6.04,6.0,3.72,3004
4151,0.42,Ideal,F,VVS2,62.1,55.0,4.79,4.81,2.98,1142
4152,0.32,Very Good,I,SI2,63.4,56.0,4.37,4.34,2.76,480
4153,0.42,Premium,D,SI2,60.1,58.0,4.83,4.88,2.92,700
4154,0.37,Very Good,G,IF,61.8,56.0,4.6,4.64,2.85,1003
4155,0.98,Fair,G,I1,58.7,57.0,6.54,6.43,3.8,1932
4156,1.51,Very Good,G,VS2,61.5,59.0,7.34,7.38,4.53,11640
4157,0.55,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,1667
4158,0.92,Premium,E,SI1,61.3,58.0,6.19,6.25,3.81,4379
4159,0.37,Ideal,F,VS2,60.6,56.0,4.64,4.63,2.81,957
4160,0.73,Very Good,G,SI1,58.8,61.0,5.87,5.93,3.47,2564
4161,1.01,Good,H,SI1,63.1,59.0,6.32,6.36,4.0,4749
4162,0.52,Ideal,E,VS2,61.2,56.0,5.23,5.16,3.18,1815
4163,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,335
4164,1.02,Ideal,F,SI2,62.9,58.0,6.34,6.42,4.01,5115
4165,0.8,Good,G,SI2,63.7,58.0,5.88,5.83,3.73,2484
4166,0.55,Ideal,D,VVS2,61.6,56.0,5.23,5.29,3.24,2720
4167,0.54,Ideal,E,VS1,62.0,56.0,5.25,5.17,3.23,2041
4168,0.9,Premium,F,SI2,60.5,57.0,6.23,6.2,3.76,3704
4169,0.41,Ideal,D,VS2,62.4,55.0,4.79,4.76,2.98,1076
4170,1.0,Premium,E,SI2,60.7,58.0,6.45,6.38,3.9,3763
4171,1.0,Very Good,D,SI2,60.5,60.0,6.41,6.44,3.89,5227
4172,0.43,Ideal,D,VS2,60.7,57.0,4.91,4.88,2.97,1129
4173,0.35,Very Good,E,SI1,62.7,57.0,4.47,4.52,2.82,614
4174,1.09,Ideal,J,SI1,62.7,57.0,6.53,6.59,4.11,4465
4175,0.32,Ideal,H,VVS1,62.9,57.0,4.38,4.33,2.74,936
4176,0.63,Ideal,D,SI1,62.8,57.0,5.49,5.46,3.44,2041
4177,0.71,Very Good,F,VS1,61.2,57.0,5.73,5.77,3.52,3045
4178,0.64,Ideal,F,VS2,62.3,56.0,5.53,5.49,3.43,2189
4179,0.27,Ideal,E,VS1,61.4,57.0,4.17,4.23,2.58,704
4180,0.79,Good,F,VS1,57.7,58.0,6.06,6.14,3.52,3436
4181,0.34,Ideal,G,VS2,62.9,55.0,4.52,4.45,2.82,765
4182,0.5,Very Good,D,SI1,58.5,60.0,5.13,5.19,3.02,1436
4183,0.74,Premium,H,SI1,62.4,58.0,5.75,5.7,3.57,2300
4184,1.0,Premium,F,VVS2,61.5,59.0,6.4,6.38,3.93,9139
4185,1.01,Ideal,H,VS2,62.7,56.0,6.4,6.35,4.0,5260
4186,0.7,Very Good,H,VS1,62.4,57.0,5.64,5.7,3.54,2145
4187,0.52,Ideal,G,VS1,62.3,55.0,5.14,5.16,3.21,1689
4188,0.7,Premium,F,VS2,62.4,59.0,5.68,5.64,3.53,2686
4189,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1668
4190,0.38,Premium,E,VS1,60.7,59.0,4.65,4.7,2.84,1000
4191,2.01,Very Good,H,SI1,62.6,59.0,7.95,7.98,4.99,16901
4192,0.84,Ideal,I,VS1,62.3,59.0,5.99,6.04,3.75,3283
4193,0.4,Ideal,E,VVS1,62.6,56.0,4.73,4.7,2.95,1397
4194,1.0,Premium,H,SI2,61.2,59.0,6.42,6.38,3.92,3920
4195,0.52,Good,E,SI2,63.7,56.0,5.15,5.12,3.27,1229
4196,0.85,Ideal,E,SI1,62.8,56.0,6.05,6.02,3.79,3503
4197,1.01,Premium,F,VS1,62.6,58.0,6.37,6.48,4.02,6066
4198,0.95,Fair,J,SI1,58.0,66.0,6.5,6.46,3.76,3154
4199,0.47,Ideal,F,VS2,60.7,56.1,5.02,5.08,3.07,1226
4200,0.7,Very Good,F,SI1,61.1,59.0,5.68,5.78,3.5,2264
4201,1.06,Premium,G,SI2,61.9,60.0,6.53,6.52,4.04,4571
4202,1.0,Fair,F,SI1,67.1,57.0,6.06,6.1,4.08,4328
4203,0.9,Fair,I,SI1,65.7,58.0,6.03,6.0,3.95,2873
4204,1.54,Ideal,F,VS2,61.8,56.0,7.36,7.39,4.56,17240
4205,0.9,Premium,E,SI2,62.2,60.0,6.19,6.15,3.84,3599
4206,0.34,Ideal,F,SI2,60.1,56.0,4.54,4.55,2.73,447
4207,0.41,Very Good,D,SI1,62.9,58.0,4.7,4.75,2.97,791
4208,0.8,Ideal,D,SI2,61.5,58.0,5.97,6.0,3.68,3173
4209,0.32,Ideal,D,VVS2,62.1,54.0,4.4,4.4,2.74,858
4210,0.72,Good,E,SI2,57.9,56.0,5.93,5.85,3.41,2308
4211,0.3,Very Good,I,SI1,61.6,59.0,4.29,4.34,2.66,394
4212,1.0,Premium,G,SI2,60.2,58.0,6.55,6.48,3.92,3584
4213,0.42,Ideal,G,VVS2,62.7,57.0,4.73,4.78,2.98,938
4214,0.56,Ideal,H,VVS1,62.3,55.0,5.26,5.3,3.29,1787
4215,1.04,Premium,G,SI2,62.9,58.0,6.47,6.43,4.06,4277
4216,0.54,Ideal,F,VS2,61.4,57.0,5.2,5.25,3.21,1662
4217,0.31,Ideal,G,VVS2,62.4,56.0,4.33,4.36,2.71,707
4218,0.91,Very Good,G,SI2,60.4,61.0,6.21,6.28,3.77,3435
4219,0.7,Ideal,E,SI1,61.4,57.0,5.71,5.75,3.52,2656
4220,0.42,Ideal,G,VS1,61.9,56.0,4.82,4.77,2.97,984
4221,0.38,Premium,D,SI1,59.7,60.0,4.69,4.66,2.79,941
4222,1.02,Good,I,SI2,57.1,62.0,6.66,6.58,3.78,3342
4223,0.3,Very Good,D,SI1,62.3,57.0,4.26,4.31,2.67,524
4224,1.66,Ideal,H,IF,61.5,57.0,7.59,7.62,4.68,14724
4225,0.21,Premium,E,VS2,59.6,56.0,3.93,3.89,2.33,386
4226,0.46,Good,D,IF,58.6,59.0,5.06,5.11,2.98,2139
4227,0.84,Premium,F,VVS2,60.4,62.0,6.15,6.1,3.7,4243
4228,0.71,Very Good,G,VS2,60.9,56.0,5.75,5.78,3.51,2895
4229,1.04,Premium,E,SI2,61.6,59.0,6.51,6.47,4.0,3392
4230,1.04,Good,E,SI1,63.5,56.0,6.37,6.41,4.06,5285
4231,1.91,Fair,H,SI2,64.6,56.0,7.76,7.7,4.99,6632
4232,0.34,Premium,H,VS1,60.6,60.0,4.49,4.45,2.71,765
4233,0.91,Ideal,I,SI2,63.0,54.0,6.17,6.12,3.86,2976
4234,1.09,Ideal,D,SI2,61.3,57.0,6.64,6.67,4.08,5267
4235,0.57,Ideal,H,VS1,61.7,54.0,5.33,5.36,3.3,1554
4236,1.04,Good,G,VS2,61.4,65.0,6.53,6.47,3.99,5535
4237,0.73,Very Good,F,VVS2,63.8,59.0,5.69,5.72,3.64,3669
4238,0.4,Good,F,SI1,63.6,56.0,4.63,4.68,2.96,687
4239,1.03,Ideal,F,VVS2,62.4,55.6,6.44,6.49,4.02,9290
4240,0.9,Very Good,J,VS1,62.6,55.0,6.11,6.13,3.83,3102
4241,0.53,Ideal,F,VVS1,61.6,56.0,5.18,5.24,3.21,2896
4242,1.1,Premium,G,SI2,61.4,59.0,6.71,6.59,4.08,4650
4243,0.23,Good,F,VVS1,60.3,66.0,3.93,3.96,2.38,472
4244,0.5,Premium,E,SI1,60.7,61.0,5.12,5.09,3.1,1415
4245,1.52,Very Good,J,VVS1,63.6,56.0,7.26,7.33,4.64,9593
4246,0.64,Premium,E,SI1,61.2,62.0,5.56,5.52,3.39,1682
4247,0.38,Ideal,E,VS2,60.1,56.0,4.69,4.72,2.83,866
4248,1.11,Ideal,H,SI2,62.7,57.0,6.66,6.59,4.14,4662
4249,0.4,Ideal,E,VS2,62.4,55.0,4.71,4.74,2.95,912
4250,1.29,Very Good,H,SI2,63.8,57.0,6.8,6.87,4.36,5601
4251,0.32,Ideal,G,VVS2,61.6,55.0,4.4,4.43,2.72,708
4252,0.23,Very Good,E,VVS1,62.9,59.0,3.93,3.95,2.48,530
4253,1.22,Premium,G,SI2,61.9,58.0,6.88,6.79,4.23,5739
4254,0.7,Good,D,VS2,57.7,60.0,5.83,5.86,3.37,3082
4255,0.42,Premium,D,SI2,62.1,59.0,4.82,4.78,2.98,898
4256,0.53,Premium,D,SI1,61.4,57.0,5.26,5.2,3.21,1753
4257,0.7,Ideal,F,SI1,60.8,57.0,5.73,5.71,3.48,2596
4258,0.54,Very Good,E,VS2,61.5,59.0,5.21,5.23,3.21,1726
4259,1.0,Premium,F,VS2,62.6,60.0,6.29,6.37,3.96,6352
4260,0.71,Very Good,I,VS2,62.8,59.0,5.64,5.67,3.55,2185
4261,0.83,Very Good,F,SI1,62.1,58.0,5.98,6.06,3.74,3010
4262,0.35,Ideal,E,VS2,63.5,54.0,4.48,4.43,2.83,722
4263,0.72,Ideal,F,VS1,62.0,56.0,5.76,5.73,3.56,2879
4264,1.43,Ideal,H,VS1,62.0,55.0,7.21,7.28,4.49,11498
4265,0.24,Ideal,F,VVS2,61.4,59.0,4.0,4.05,2.47,540
4266,0.51,Good,E,VS2,63.8,55.0,5.08,5.05,3.23,1662
4267,0.71,Premium,E,VVS1,62.7,60.0,5.73,5.62,3.56,3779
4268,0.34,Ideal,F,VS1,62.1,57.0,4.53,4.49,2.8,956
4269,0.53,Ideal,F,VS2,61.1,56.0,5.26,5.22,3.2,1753
4270,1.04,Ideal,I,VS2,61.5,57.0,6.49,6.52,4.0,5105
4271,1.57,Ideal,I,VS1,62.3,57.0,7.44,7.48,4.65,10209
4272,0.59,Ideal,E,SI1,62.2,55.0,5.39,5.42,3.36,1561
4273,1.36,Very Good,E,SI2,61.7,59.0,7.09,7.2,4.41,7288
4274,1.05,Premium,G,SI2,62.7,54.0,6.51,6.48,4.07,4018
4275,0.51,Ideal,D,VS2,61.5,55.0,5.18,5.13,3.17,1882
4276,0.34,Good,H,VS2,63.2,55.0,4.46,4.5,2.83,537
4277,0.31,Ideal,E,VS2,61.8,56.0,4.34,4.36,2.69,680
4278,1.01,Premium,G,SI2,60.1,61.0,6.6,6.55,3.95,4327
4279,0.71,Premium,F,VS2,62.4,59.0,5.71,5.66,3.55,2686
4280,0.32,Ideal,G,VVS2,62.6,57.0,4.34,4.38,2.73,730
4281,1.1,Premium,E,SI1,62.9,58.0,6.62,6.55,4.14,5773
4282,0.29,Ideal,H,IF,62.2,55.0,4.25,4.28,2.65,607
4283,0.9,Premium,I,SI1,61.8,58.0,6.26,6.2,3.85,3121
4284,0.92,Premium,F,SI1,62.0,60.0,6.26,6.19,3.86,3910
4285,1.52,Premium,J,VVS2,58.3,62.0,7.61,7.49,4.4,8202
4286,0.73,Ideal,G,VVS2,62.4,57.0,5.71,5.79,3.59,3777
4287,0.91,Very Good,F,SI1,62.2,55.0,6.18,6.23,3.86,3885
4288,2.0,Good,I,VS2,63.6,60.0,7.95,8.03,5.08,16291
4289,1.06,Premium,D,VS2,59.3,55.0,6.7,6.65,3.96,7479
4290,1.08,Premium,G,SI2,59.8,57.0,6.72,6.66,4.0,4318
4291,1.05,Premium,F,SI2,62.8,55.0,6.55,6.48,4.09,4363
4292,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,982
4293,0.41,Ideal,E,SI1,61.4,57.0,4.78,4.8,2.94,705
4294,1.23,Ideal,H,I1,61.8,56.0,6.91,6.85,4.25,4098
4295,0.27,Premium,D,VS2,59.6,61.0,4.26,4.23,2.53,567
4296,0.85,Very Good,E,VS2,63.6,56.0,5.97,6.01,3.81,3997
4297,1.73,Premium,I,VS1,62.2,59.0,7.65,7.62,4.75,12674
4298,0.71,Very Good,G,VVS2,61.2,58.0,5.68,5.72,3.49,3113
4299,0.53,Ideal,H,VS2,61.7,54.0,5.23,5.2,3.22,1604
4300,1.12,Ideal,H,VS1,61.9,57.0,6.66,6.69,4.13,6309
4301,1.24,Ideal,H,VS1,62.6,54.0,6.88,6.84,4.29,7222
4302,0.36,Premium,E,SI2,61.5,58.0,4.61,4.56,2.82,648
4303,0.42,Premium,H,VS1,61.6,58.0,4.79,4.82,2.96,847
4304,0.53,Ideal,D,VVS2,62.2,56.0,5.18,5.21,3.23,2563
4305,0.42,Premium,G,VS2,60.1,61.0,4.86,4.79,2.9,1087
4306,0.34,Ideal,D,VS2,62.3,55.0,4.48,4.45,2.78,1033
4307,1.13,Ideal,G,VVS2,61.6,57.0,6.66,6.75,4.13,10396
4308,0.37,Very Good,H,SI1,62.6,63.0,4.6,4.5,2.85,613
4309,0.39,Ideal,E,VS1,62.3,57.0,4.64,4.67,2.9,1026
4310,0.52,Ideal,H,VVS1,62.1,53.8,5.17,5.19,3.21,1767
4311,1.28,Ideal,H,SI1,61.8,57.0,7.02,6.97,4.32,7109
4312,1.01,Ideal,G,VS2,62.6,56.0,6.41,6.44,4.02,6964
4313,0.71,Very Good,E,SI2,62.7,59.0,5.7,5.75,3.59,2397
4314,0.3,Premium,F,VS2,61.4,60.0,4.3,4.27,2.63,776
4315,0.43,Very Good,E,VVS2,60.8,57.0,4.89,4.92,2.98,1245
4316,0.62,Very Good,F,SI2,63.1,52.0,5.39,5.53,3.45,1348
4317,1.5,Fair,H,I1,68.9,56.0,7.0,6.9,4.79,5292
4318,1.0,Ideal,D,SI1,62.5,55.0,6.42,6.34,3.99,6664
4319,0.79,Very Good,D,SI2,59.7,58.0,6.0,6.07,3.6,2878
4320,0.3,Ideal,E,VVS2,60.7,57.0,4.36,4.41,2.66,622
4321,0.55,Ideal,H,SI1,61.5,54.0,5.3,5.33,3.27,1134
4322,0.4,Premium,D,VS1,59.2,59.0,4.79,4.81,2.84,1123
4323,0.3,Ideal,E,VVS2,61.2,56.0,4.34,4.38,2.67,742
4324,0.51,Very Good,E,VVS1,59.9,57.0,5.22,5.24,3.14,2501
4325,0.36,Very Good,G,SI1,61.2,63.0,4.56,4.59,2.8,537
4326,0.46,Ideal,H,SI1,61.2,56.0,4.97,5.0,3.05,1299
4327,1.53,Premium,E,SI2,58.9,59.0,7.63,7.55,4.47,8996
4328,0.56,Premium,D,SI1,60.6,59.0,5.36,5.34,3.24,1814
4329,0.24,Ideal,G,VVS1,62.0,55.0,4.01,4.03,2.49,559
4330,0.93,Premium,H,SI1,61.8,59.0,6.23,6.27,3.86,3816
4331,0.91,Good,D,SI1,63.1,61.0,6.1,6.16,3.87,4113
4332,0.32,Premium,I,VS2,62.8,58.0,4.37,4.33,2.73,576
4333,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,357
4334,0.33,Premium,G,VS2,59.4,61.0,4.53,4.49,2.68,743
4335,0.37,Premium,J,VS2,61.1,60.0,4.63,4.6,2.82,583
4336,0.91,Ideal,D,SI2,62.6,54.0,6.22,6.25,3.9,4067
4337,0.36,Premium,F,VS2,58.5,58.0,4.69,4.65,2.73,869
4338,0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24,855
4339,2.02,Very Good,J,VS2,62.6,58.0,8.03,8.1,5.05,13499
4340,0.88,Ideal,E,VS2,61.4,56.0,6.15,6.17,3.78,5595
4341,1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,5469
4342,0.3,Ideal,G,VS1,62.2,55.0,4.28,4.31,2.67,624
4343,0.91,Very Good,D,SI1,63.2,59.0,6.11,6.14,3.87,4466
4344,1.23,Premium,F,VS2,59.6,58.0,6.94,7.02,4.16,8855
4345,0.96,Ideal,G,VS1,61.1,56.0,6.34,6.39,3.89,6807
4346,1.54,Ideal,H,SI2,60.9,56.0,7.45,7.43,4.53,9624
4347,1.02,Very Good,F,SI1,62.9,56.0,6.39,6.43,4.03,5930
4348,0.56,Ideal,G,SI1,61.6,59.0,5.27,5.32,3.26,1755
4349,1.87,Ideal,J,SI1,62.3,57.0,7.88,7.82,4.89,10137
4350,0.57,Ideal,E,VS2,60.4,57.0,5.4,5.35,3.25,1949
4351,0.51,Very Good,F,VS1,62.4,59.0,5.04,5.09,3.16,1697
4352,0.32,Ideal,E,VS1,61.4,56.0,4.42,4.44,2.72,898
4353,1.01,Ideal,H,VS1,62.6,57.0,6.37,6.4,4.0,5777
4354,0.9,Very Good,H,VS1,62.2,59.0,6.14,6.18,3.83,4324
4355,1.0,Premium,D,SI1,59.6,57.0,6.54,6.44,3.87,5880
4356,0.74,Very Good,I,SI1,63.8,58.0,5.72,5.76,3.66,2352
4357,0.33,Ideal,G,VVS2,61.7,55.0,4.42,4.46,2.74,752
4358,1.19,Ideal,D,VS1,61.1,57.0,6.84,6.87,4.19,10079
4359,1.01,Ideal,H,SI1,62.2,57.0,6.43,6.37,3.98,4836
4360,0.4,Ideal,E,VS2,62.9,55.0,4.74,4.73,2.98,975
4361,0.7,Fair,F,I1,66.2,59.0,5.59,5.4,3.65,1087
4362,0.77,Premium,F,SI1,61.0,58.0,5.94,5.9,3.61,2856
4363,1.07,Ideal,F,SI2,61.5,57.0,6.57,6.6,4.05,4678
4364,0.32,Ideal,G,VS2,61.4,57.0,4.4,4.39,2.7,720
4365,0.6,Very Good,E,VS1,60.0,58.0,5.5,5.56,3.32,2270
4366,0.71,Ideal,H,SI2,62.6,56.0,5.75,5.69,3.58,1800
4367,1.12,Ideal,D,SI1,60.5,56.0,6.75,6.78,4.09,7153
4368,0.71,Very Good,F,VVS1,62.7,58.0,5.67,5.72,3.57,3626
4369,0.92,Premium,D,SI2,60.2,61.0,6.32,6.27,3.79,3004
4370,0.92,Very Good,H,SI2,62.8,59.0,6.14,6.16,3.86,3417
4371,0.7,Premium,E,SI1,60.5,58.0,5.74,5.77,3.48,2753
4372,0.42,Premium,F,VS1,61.8,59.0,4.81,4.83,2.98,1031
4373,0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,840
4374,0.42,Ideal,F,VVS1,62.0,55.0,4.84,4.81,2.99,1389
4375,0.52,Premium,G,VS1,61.7,56.0,5.21,5.17,3.2,1815
4376,1.02,Very Good,G,VS1,63.3,58.0,6.42,6.38,4.05,6861
4377,0.51,Very Good,D,VS2,63.2,56.0,5.04,5.08,3.2,1722
4378,0.93,Good,J,VS2,63.6,61.0,6.16,6.08,3.89,3000
4379,0.8,Ideal,E,SI1,61.7,56.0,5.99,6.04,3.71,3630
4380,2.31,Very Good,I,SI2,62.9,58.0,8.34,8.43,5.27,17062
4381,0.31,Ideal,G,VS1,62.3,54.0,4.35,4.38,2.72,600
4382,1.01,Very Good,E,VS2,60.4,58.0,6.47,6.6,3.95,6522
4383,0.51,Very Good,I,VS1,62.5,59.0,5.1,5.14,3.2,1301
4384,0.71,Fair,D,VS2,64.4,56.0,5.63,5.58,3.61,2596
4385,0.3,Ideal,G,VS1,62.8,57.0,4.26,4.24,2.67,776
4386,0.52,Premium,H,SI1,62.6,55.0,5.16,5.12,3.22,1219
4387,0.81,Very Good,D,VVS2,63.9,56.0,5.79,5.91,3.74,5423
4388,1.01,Very Good,F,VVS1,62.9,57.0,6.35,6.41,4.01,10019
4389,1.52,Ideal,F,VS2,62.5,55.0,7.42,7.31,4.6,14915
4390,0.41,Very Good,E,VVS2,62.2,57.0,4.76,4.79,2.97,1116
4391,0.4,Ideal,D,SI1,62.5,55.0,4.73,4.71,2.95,950
4392,0.73,Good,E,VS2,64.2,54.0,5.68,5.72,3.66,2912
4393,0.44,Very Good,E,VS1,62.2,58.0,4.8,4.85,3.0,1246
4394,0.6,Ideal,F,VS1,62.9,57.0,5.35,5.31,3.35,2142
